Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology
Galail,/ˈga.ləlʲ/,Galīlaea,galilae,/ga.li:.ˈle:.a/
Galat,/ˈga.ləd/,Galatae,Galat,/ˈga.la.te:/
Gall 1,/ˈgaL/,Gallus,gall,/ˈgal.lus/
Gargán,/ˈgar.ga:n/,Gargānus,Gargan,/gar.ˈga:.nus/
geint\i,/ˈgʲenʲ.tʲi/,gentēs,gent,/ˈgen.te:s/
genelach,/ˈgʲe.nʲə.ləx/,geneālogia,genealogi,/ge.ne.a:.ˈlo.gi.a/
genitiu,/ˈgʲe.nʲə.dʲiw/,*genitiō,genitio,/ge.ˈni.ti.o:/
gentl\ide,/ˈgʲe.nʲ.tʲlʲə.ðʲe/,gentilis,gentil,/ˈgen.ti.lis/
gerind,/ˈgʲe.rəndʲ/,gerundium,gerundi,/ge.ˈrun.di.um/
Giürge,/ˈgʲi.ur.ge/,?,,
glaine 3,/ˈgla.nʲe/,glandium,glandi,/ˈglan.di.um/
gliger\nat,/ˈglʲi.ɣʲər.nəd/,Glycerium,Glyceri,/gli.ˈke.ri.um/
glúas,/ˈgluəs/,glōsa,glos,/ˈglo:.sa/
grád 1,/ˈgra:ð/,*grādus,grad,/gra:.dus/
graif 3,/ˈgrafʲ/,grauis,grau,/gra.wis/
grammataicc,/ˈgra.mə.dəkʲ/,grammatica,grammatic,/gram.ˈma.ti.ka/
gréc 1,/ˈgre:g/,*grēcus,grec,/ˈgre:.kus/
gríb,/ˈgʲrʲi:v/,grȳphus,gryph,/ˈgri:.fus/
Heremias,/ˈe.rʲə.ɱi.as/,?,,
Heróid,/ˈe.ro:ðʲ/,Hērōdēs,herode,/he:.ˈro:.de:s/
Iäcob,/ˈi.a.kəv/,?,,
íadum\dae,/ˈiə.ðuɱ.ðe/,Idumaea,Idumae,/i.du.ˈme:.a/
idan,/ˈi.ðən/,idōneus,idone,/i.ˈdo:.ne.us/
ídol,/ˈi:.ðəl/,īdōlum,idol,/i:.ˈdo:.lum/
Ienar,/ˈje.nər/,*ienārius,ienari,/je.ˈna:.ri.us/
Iëse 1,/ˈi.e.ʃe/,?,,
Iessu,/ˈʲe.su/,Iesua,Iesua,/ˈje.su.a/
ifern,/ˈi.fʲərn/,*ifernum,ifern,/i:.ˈfer.nus/
ilec\de,/ˈi.lʲəx.ðe,īlicem,ilic,/ˈi:.li.kem/
ilign\ide,/ˈi.lʲəɣ.nʲə.ðʲe/,īlignus,ilign,/ˈi:.liŋ.nus/
ímáig,/ˈi:.ɱa:ɣʲ/,*īmāgō,imago,/i:.ˈma:.go:/
inach\dae,/ˈi.nəx.ðe/,Inachus,Inach,/ˈi.na.kus/
indecht,/ˈin.dʲəxt/,indictiō,indictio,/in.ˈdik.ti.o:/
infinit,/ˈinʲ.fʲə.nʲədʲ/,infīnītum,infinit,/in.fi:.ˈni:.tum/
ingor 1,/ˈiŋ.gər/,ancora,ancor,/ˈaŋ.ko.ra/
inscríbend,/ˈinʲ.ʃkʲrʲi:.vʲənd/,īnscrībendum,inscribend,/i:n.skri:.ˈben.dum/
interiecht,/ˈinʲ.tʲə.rʲəxt/,interiectiō,interiectio,/in.ter.ˈjek.ti.o:
intinn,/ˈinʲ.tʲəN/,intentiō,intentio,/in.ten.ti.o:/
intliucht,/ˈinʲ.tʲluxt/,intellectus,intellect,/in.tel.ˈlek.tus/
Ioäb,/ˈjo.av/,Ioab,Ioab,/jo.ab/
Iób,/ˈjo:v/,Iōb,Iob,/jo:b/
Iohain,/ˈjo.anʲ/,Iōannēs,ioanne,/jo:.ˈan.ne:s/
Ionathan,/ˈjo.na.θan/,Ionathān,Ionathan,/ˈjo.na.ta:n/
Iordanén,/ˈjor.da.nʲe:n/,Iordanēn,Iordanēn,/ˈjor.da.ne:n/
Ioseph,/ˈjo.ʃiəv/,Iōsēphus,Ioseph,/jo:.ˈse:.fus/
Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology
íróin,/ˈi:.ro:nʲ/,īrōnīa,ironi,/i:.ro:.ˈni:.a/
Iruphín,/i.ru.fʲi:n/,cherubīn,cherubin,/ˈke.ru.bi:n/
Irusalem,/ˈi.ru.sə.lʲəɱ/,Heriosolyma,Heriosolym,/he.ri.o.ˈso.li.ma/
Isáac,/ˈi.sa.ak/,Isaāc,Isaac,/ˈi.sa.a:k/
Ismaíl,/ˈi.smajl/,Ismael,Ismael,/ˈis.majl/
Israël,/ˈi.sra.el/',Isrāēl,Isrāēl,/is.ˈra:.e:l/
Ísu,/ˈi:.su/,Iēsūs,iesu,/ˈje:.su:s/
Iuda,/ˈju:.ða/',Iūdās,iuda,/ju:da:s/
Iúdaei,/ˈju:.ðe.i/',Iūdaeus,iudae,/ju:.ˈde:.us/
Iudas,/ˈju:.ðəs/',Iūdās,iuda,/ju:da:s/
Iudé,,?,,
iúil,/ˈju:lʲ/,Iūlius,iuli,/ˈju:.li.us/
láech,/ˈlajx/,lāicus,laic,/ˈla:.i.kus/
Laiten,/ˈla.dʲən/,Latīna,latin,/la.ˈti:.na/
lann,/ˈlaN/,lāmina,lamin,/ˈla:.mi.na/
lart,/ˈlart/,Lartem,lart,/ˈlar.tem/
later,/ˈla.tʲər/,later,later,/ˈla.ter/
Latin,/ˈla.dʲən/,Latīnus,latin,/la.ˈti:.nus/
latrann,/ˈla.drəN/,latrōnem,latron,/ˈla.tro:.nem/
lauren\tide,/ˈlaw.rʲən.tə.ðʲe,Laurentium,laurenti,/law.ˈren.ti.um/
lax,/ˈlaxs/,laxus,lax,/ˈlak.sus/
Lebedán,/ˈlʲe.vʲə.ða:n/,Leviāthan,leviathan,/le.wi.ˈa:.tan/
lebor,/ˈlʲe.vər/,liber,liber,/ˈli.ber/
lecet,/ˈlʲe.gʲəd/,licet,licet,/ˈli.ket/
lechd\aig\the,/ˈlʲex.ðəɣʲ.θʲe/,liquidus,liquid,/ˈli.kwi.dus/
lég\aid,/ˈlʲe:.ɣəðʲ/,legō,leg,/ˈle.go:/
léigend,/ˈlʲe:.ɣʲənd/,legendum,legend,/le.ˈgen.dum/
leigeón,,legiōnem,legion,/le.gi.ˈo:.nem/
léigeón,,legiōnem,legion,/le.gi.ˈo:.nem/
leo,/ˈlʲew/,leō,leo,/ˈle.o:/
leuan,/lʲew.an/,Libanus,Liban,/ˈli.ba.nus/
Leui,/lʲew.i/,Lēvi,,/le:.wi/
Leuite,,Lēvītēs,Levit,/le:.wi:.te:s/
ligor\dae,/ˈlʲi.ɣər.ðe/,Ligurēs,Ligur,/ˈli.gu.re:s/
lín\dae,/ˈlʲi:n.de/,līnum,lin,/ˈli:.num/
lín\ech,/ˈlʲi:.nʲəx/,līnea,line,/ˈli:.ne.a/
litán,/ˈlʲi.da:n/,litania,litani,/li.ˈta.ni.a/
líth,/ˈlʲi:θ/,lītus,lit,/ˈli:.tus/
litter,/ˈlʲi.tʲər/,littera,litter,/ˈlit.te.ra/
loc,/lˈog/,locus,loc,/ˈlo.kus/
lócharn,/ˈlo:.xərn/,*lūcerna,lucern,/lu:.ˈker.na/
long 1,/ˈloŋ/,(nāvis) longa,long,/ˈloŋ.ga/
lubair,/ˈlu.vərʲ/,labōrem,labor,/la.ˈbo:.rem/
Lucas,/lu.kəs/,Lucas,luca,/ˈlu.kas/
Lucifer,/lu.kʲə.fʲər/,lūcifer,lucifer,/ˈlu:.ki.fer/
lúirech,/ˈlu:.rəx/,lōrīca,loric,/lo:.ˈri:.ka/
lunáir,/ˈlu.na:rʲ/,*lunāris,lunar,/lu.ˈna:.ris/
Maccidón\dae,/ˈma.kʲə.ðo:n.de/,Macedonia,macedoni,/ma.ke.ˈdo.ni.a/
machab\dae,/ˈma.xəv.ðe/,Maccabaeus,Maccabae,/mak.ka.ˈbe:.us/
Machabae,/ˈma.xə.ve/,Maccabaeus,Maccabae,/mak.ka.ˈbe:.us/
máchaill,/ˈma:.xəLʲ/,macula,macul,/ˈma.ku.la/
macrae,/ˈma.gre/,maceria,maceri,/ma.ˈke.ri.a/
Madian,/ˈma.ðʲən/,?,,
maigister,/ˈma.ɣʲə.ʃtʲər/,magister,magister,/ma.ˈgis.ter/
mainche,/ˈmanʲ.xʲe/,*manachīum,manachi,/ma.na.ˈki:.um/
máinia,/ˈma:.nʲə/,mania,mania,/ˈma.ni.a/
Maire,/ˈma.rʲe/,Marīa,mari,/ma.ˈri:.a/
mairt,/ˈmarʲtʲ/,(diēs) mārtis,mart,/ˈma:r.tis/
maldach\aid,/ˈmal.də.xəðʲ/,*maldīcō,maldic,/mal.ˈdi:.ko:/
maldacht,/ˈmal.dəxt/,*maldictiō,maldictio,/mal.ˈdik.ti.o:/
manach,/ˈma.nəx/,*manachus,manach,/ˈma.na.kus/
mann,/ˈmaN/,manna,mann,/ˈman.na/
Mannese,/ma.Nʲə.ʃe/,Manassēs,manasse,/ma.ˈnas.se:s/
Marc,/ˈmark/,Mārcus,marc,/ˈma:r.kus/
Marcill,/ˈmar.kəLʲ/,Mārcellus,Marcell,/ma:r.ˈkel.lus/
margan,/ˈmar.gən/,marginem,marginem,/ˈmar.gi.nem/
margarét,/ˈmar.gə.rʲe:d/,margarīta,margarit,/mar.ga.ˈri:.ta/
Maria,/maˈrʲi.a/,Marīa,Maria,/ma.ˈri:.a/
marmar,/ˈmar.mər/,marmor,marmor,/ˈmar.mor/
Mart,/ˈmart/,Martis,mart,/ˈmar.tis/
martar,/ˈmar.tər/,martyr,martyr,/ˈmar.tir/
mascul,/ˈma.skul/,masculus,mascul,/ˈmas.ku.lus/
masculin\dae,/ˈma.sku.lʲən.de/,masculīnus,masculin,/mas.ku.ˈli:.nus/
mass,/ˈmas/,massa,mass,/ˈmas.sa/
matan,/ˈma.dən/,(hōra) matīna,matin,/maˈti:.na/
Mathae,/ˈma.θe/,?,,
mebuir,/ˈmʲe.vurʲ/,memoria,memori,/me.ˈmo.ri.a/
Med 2,/ˈmʲeð/,Mēdus,Med,/ˈme:.dus/
meirdrech,/ˈmʲerʲ.dʲrʲəx/,meretricem,meretric,/me.ˈre.tri.kem/
Melchisedech,/ˈmʲel.kə.ʃə.ðʲəx/,Melchisedech,Melchisedech,/mel.ˈki.se.dek/
membrumm,/ˈmʲem.brum/,membrum,membr,/ˈmem.brum/
memmrae,/ˈmʲe.mre/,memoria,memori,/me.ˈmo.ri.a/
MercUir,/ˈmʲer.kurʲ/,Mercurius,mercuri,/mer.ˈku.ri.us/
messar,/ˈmʲe.sər/,*mesūra,mesur,/me.ˈsu:.ra/
metar 1,/ˈmʲe.dər/,metrum,metr,/ˈme.trum/
metrapoil,/ˈme.drə.bəlʲ/,mētropolis,metropol,/me:.ˈtro.po.lis/
Míchél,/ˈmʲi:.xʲe:l/,Michaēl,Michael,/ˈmi.ka.e:l/
midach,/ˈmʲi.ðəx/,medicus,medic,/ˈme.di.kus/
míl 2,/ˈmʲi:l/,mīles,mile,/ˈmi:.les/
míle,/ˈmʲi:.lʲe/,mīlia,mili,/ˈmi:.li.a/
min 1,/ˈmʲin/,mīnus,min,/ˈmi:.nus/
mindech,/ˈmʲinʲ.dʲəx/,mendīcus,mendic,/men.ˈdi:.kus/
mírbail,/ˈmʲi:r.vəlʲ/,mīrābilis,mirabil,/mi:.ˈra:.bi.lis/
mirt–chaill,/ˈmʲirt/,myrtus,myrt,/ˈmir.tus/
Moab,/ˈmo.av/',Mōab,Moab,/ˈmo:.ab/
mocol,/ˈmo.gəl/,macula,macul,/ˈma.ku.la/
mod,/ˈmoð/,modus,mod,/ˈmo.dus/
moinistir,/ˈmo.nʲə.ʃtʲərʲ/,monasterium,monasteri,/mo.nas.ˈte.ri.um/
moirtchenn,/ˈmorʲtʲ.xʲəN/,morticinium,morticini,/mor.ti.ˈki.ni.um/
monad,/ˈmo.nəð/,monēta,monet,/mo.ˈne:.ta/
morálus,/ˈmo.ra:.lus/,*morālis,moralis,/mo:.ˈra:.lis/
Mordochei,/ˈmor.də.xʲe.i/,Mardocheus,Mardoche,/mar.ˈdo.ke.us/
mortlaith,/ˈmor.tləθʲ/,mortālitātem,mortālitāt,/mor.ta:.li.ˈta:.tem/
Moysi,/ˈmo.i.ʃi/,Mō̆ȳsēs,Mō̆ȳsē,/mo.ˈi:.se:s/
muide,/ˈmu.ðʲe/,modius,modi,/ˈmo.di.us/
muilenn,/ˈmu.lʲəN/,molīna,molin,/mo.ˈli:.na/
muinter,/ˈmunʲ.tʲər/,monistērium,monisteri,/mo.nis.ˈte:.ri.um/
múl,/ˈmu:l/,mūlus,mul,/ˈmu:.lus/
múr,/ˈmu:r/,mūrus,mur,/ˈmu:.rus/
mút,/ˈmu:t/,mūtus,mut,/ˈmu:.tus/
Nabcodon,/ˈnav.kə.ðən/,Nabuchodonosor,Nabuchodonosor,/na.bu.ko.ˈdo.no.sor/
Nabcodonozor,/ˈnav.kə.ðə.nə.sər/,Nabuchodonosor,Nabuchodonosor,/na.bu.ko.ˈdo.no.sor/
Nathan,/ˈna.θən/,Nathan,Nathan,/ˈna.tan/
neutur,/ˈnʲew.dur/,neutrum,neutr,/ˈnew.trum/
neuturál\dae,/ˈnʲew.du.ra:l.de/,neutrālis,neutral,/new.ˈtra:.lis/
nihelas,/ˈnʲi.e.ləs/',nihil,nihil,/ˈni.hil/
Nóë,/ˈno.e/,Nōē,Noe,/ˈno:.e:/
nón,/ˈno:n/,nōna,non,/ˈno:.na/
not,/ˈnod/,nota,not,/ˈno.ta/
nothath,/ˈno.θəθ/,nothus,noth,/ˈno.tus/
notlaic,/ˈno.dləgʲ/,*natālicius,natalici,/na.ta:.ˈli.ki.us/
nuimir,/ˈnu.ɱʲərʲ/,numerus,numer,/ˈnu.me.rus/
Nun,/ˈnun/,Nun,nun,/ˈnun/
obel,/ˈo.vʲəl/,obelus,obel,/ˈo.be.lus/
oblae,/ˈov.le/,oblāta,oblat,/ob.ˈla:.ta/
ochra,/ˈo.xrə/,ocreae,ocre,/ˈo.kre.e:/
ochsal,/ˈox.səl/,axilla,axill,/ak.ˈsil.la/
Ochtimbir,/ˈox.təmʲ.bʲərʲ/,*octember,octember,/ok.ˈtem.ber/
oifrend,/ˈo.fʲrʲənd/,offerendum,offerend,/of.fe.ˈren.dum/
oirdn\id,/ˈorʲdʲ.nʲəðʲ/,ordinō,ordin,/ˈor.di.no:/
oirgl\ech,/ˈorʲ.gʲlʲəx/',*orāclum,oracl,/o.ˈra:.klum/
olae,/ˈo.le/,oleum,ole,/o.ˈle.um/
ong\aid,/ˈoŋ.gəðʲ/,ungō,ung,/ˈuŋ.go:/
onóir,/ˈo.no:rʲ/,honor,honor,/ˈho.nor/
opar,/ˈo.bər/,opera,oper,/ˈo.pe.ra/
optait,/ˈob.tədʲ/,optātīuus,optatiu,/op.ta:.ˈti:.wus/
ór,/ˈo:r/,hōra,hor,/ˈho:.ra/
ór 1,/ˈo:r/,aurum,aur,/ˈaw.rum/
oratian\dae,/ˈo.rə.tʲən.de/,horatiānus,horatian,/ho.ra.ti.ˈa:.nus/
ord 1,/ˈord/,ōrdō,ordo,/ˈo:r.do:/
ordan,/ˈor.dən/,ōrdinem,ordin,/ˈo:r.di.nem/
orgán,/ˈor.ga:n/,organum,organ,/ˈor.ga.num/
Orient,/ˈo.rʲi.ent,orientem,orient,/o.ri.ˈen.tem/
oróit,/ˈo.ro:dʲ/,*orātiō,oratio,/o.ˈra:.ti.o:/
ortha,/ˈor.θə/,*orātiō,oratio,/o.ˈra:.ti.o:/
Ossæ,/ˈo.se/,Hosea,Hosea,/ˈho.se.a/
pács,/ˈpa:ks/,pāx,pax,/pa:ks/
pairche,/ˈparʲ.xʲe/,paruchia,paruchi,/pa.ˈru.ki.a/
pairt,/ˈparʲtʲ/,partem,part,/ˈpar.tem/
paiter,/ˈpa.dʲər/,pater,pater,/ˈpa.ter/
Palastina,/ˈpa.lə.ʃtʲə.na/,Palaestīna,Palaestina,/pa.le:s.ˈti:.na/
palnac\de,/ˈpal.nəx.ðe/,pallacīnus,pallacin,/pal.la.ˈki:.nus/
Pan,/ˈpan/,?,,
parabail,/ˈpa.rə.vəlʲ/,parabola,parabol,/pa.ˈra.bo.la/
parbail,/ˈpar.vəlʲ/,parabola,parabol,/pa.ˈra.bo.la/
Pardas,/ˈpar.dəs/,paradīsus,paradis,/pa.ra.ˈdi:.sus/
passer,/ˈpa.ʃər/,passer,passer,/ˈpas.ser/
Pátric,/ˈpa.drəgʲ/,*Pātricius,patrici,/pa.ˈtri.ki.us/
peccath,/ˈpʲ.ekəθ/,peccātum,peccat,/pek.ˈka:.tum/
pél\ech\dae,/ˈpʲe:.lʲəx.ðe/,Peleus,Pele,/pe.ˈle.us/
pén,/ˈpʲen/,pena,pen,/ˈpe:.na/
peneuilt,/ˈpʲe.nʲulʲtʲ/,pēnultima,penultim,/pe:.ˈnul.ti.ma/
penn,/ˈpʲeN/,penna,penn,/ˈpen.na/
pennaind,/ˈpʲe.Nənʲdʲ/,*pententia,pententi,/pen.ˈten.ti.a/
pennit,/ˈpʲe.Nʲədʲ/,*penitēre,penit,/pe.ni.ˈte:.re/
Pers,/ˈpʲers/,Persa,pers,/ˈper.sa/
persan,/ˈpʲer.sən/,persōna,person,/per.ˈso:.na/
Petar,/ˈpʲe.dər/,Petrus,petr,/ˈpe.trus/
Philipians\tae,/ˈfʲi.lʲə.pʲən.ste/,philipianēnsis,philipianens,/fi.li.pi.a.ˈne:n.sis/
Philomóin,/fʲi.lə.ɱo:nʲ/,Philēmōn,Philemon,/fi.ˈle:.mo:n/
phir\de,/ˈfʲir.ðe/,Phirradios,Phirradi,/fir.ˈra.di.os/
Pilip,/ˈpʲi.lʲəb/,Phillipus,Phillip,/ˈfil.li.pus/
pín,/ˈpʲi:n/,pīnus,pin,/ˈpi:.nus/
pis,/ˈpʲiʃ/,pisum,pis,/ˈpi.sum/
pís,/ˈpʲi:s/,*pēsum,pes,/ˈpe:.sum/
plág,/ˈpla:ɣ/,plāga,plag,/ˈpla:.ga/
plait,/ˈpladʲ/,platēa,plate,/pla.ˈte:.a/
póc,/ˈpo:g/,pācem,pac,/pa:.kem/
Poimp,/ˈpomʲpʲ/,Pompeius,pompei,/pom.ˈpej.jus/
Pól,/ˈpo:l/,Paulus,paul,/ˈpaw.lus/
pól\ire,/ˈpo:.lə.rʲe/,*puglāria,puglari,/pu.ˈgla:.ri.a/
ponc,/ˈpoŋk/,pūnctum,punct,/ˈpu:ŋk.tum/
pond,/ˈpond/,pondus,pond,/ˈpon.dus/
Pontfelat,/ˈponʲtʲ.fʲə.lət/,Pontius Pilātius,ponti pilati,/ˈpon.ti.us/+/pi.ˈla:.tius/
pópol,/ˈpo:.bəl/,pōpulus,popul,/ˈpo:.pu.lus/
popul,/ˈpo.bul/,populus,popul,/ˈpo.pu.lus/
port,/ˈport/,portus,port,/ˈpor.tus/
posit,/ˈpo.ʃədʲ/,positīuus,positiu,/po.si.ˈti:.wus/
preicept,/ˈpʲrʲe.gʲəpt/,praeceptum,praecept,/pre:.ˈkep.tum/
Prescien,/ˈpʲrʲes.kʲi.e:n/,Prisciānus,Priscian,/pris.ki.ˈa:.nus/
pret\aid,/ˈpʲrʲe.dəðʲ/,*predō,pred,ˈ/pre.do:/
pridch\aid,/ˈpʲrʲið.xəðʲ/,*predīcō,predic,/pre.ˈdi:.ko:/
prím,/ˈpʲrʲi:ɱ/,prīmus,prim,/ˈpri:.mus/
prímit,/ˈpʲri:.ɱədʲ/,primitiae,primiti,/pri.ˈmi.ti.e:/
Priscill,/ˈpʲrʲis.kəLʲ/,Priscilla,Priscill,/pris.ˈkil.la/
proind,/ˈprondʲ/,prandium,prandi,/ˈpran.di.um/
prom\aid,/ˈpro.ɱəðʲ/,probō,prob,/ˈpro.bo:/
promith\ide,/ˈpro.ɱə.ðʲe/,Promētheus,Promethe,/pro.ˈme:.te.us/
propir,/ˈpro.bʲərʲ/,proprium,propri,/ˈpro.pri.um/
Prospir,/ˈpro.spərʲ/,Prosperus,prosper,/ˈpros.pe.rus/
psilen,/ˈʃi.lʲən/,?,,
punct,/ˈpuŋkt/,pūnctum,punct,/ˈpu:ŋk.tum/
pupall,/ˈpu.bəL/,pāpiliō,papilio,/pa:.ˈpi.li.o:/
purgatóir,/ˈpur.gə.do:rʲ/,purgatōrium,purgatori,/pur.ga.ˈto:.ri.um/
Rabsacen,/ˈrav.sə.kʲe:n/,Rabsacēn,Rabsacen,/ˈrab.sa.ke:s/
ráim,/ˈra:ɱʲ/,rāmus,ram,/ˈra:.mus/
reiclés,/ˈrʲe.gʲlʲe:s/,?,,
reilic,/ˈre.lʲəgʲ/,reliquiae,reliqui,/re.ˈli.kwi.e:/
retoiric,/ˈrʲe.do.rʲəgʲ/,*rhetoricē,rhetorice,/re.ˈto.ri.ke:/
rétu,/ˈrʲe:.du/,*rēatus,reat,/ˈre:.a.tus/
riagul,/ˈrʲiə.ɣul/,rēgula,regul,/ˈre:.gu.la/
robur,/ˈro.vur/,rubrum,rubr,/ˈrub.rum/
Róm,/ˈro:ɱ/,Rōma,rom,/ˈro:.ma/
Rómán,/ˈro:.ɱa:n/,rōmānus,roman,/ro:.ˈma:.nus/
romuil,/ˈro.ɱulʲ/,Rōmulus,romul,/ˈro:.mu.lus/
rós,/ˈro:s/,*rōsa,ros,/ˈro:.sa/
rúsc,/ˈru:sk/,ruscum,rusc,/ˈrus.kum/
sabbait,/ˈsa.bədʲ/,sabbatum,sabbat,/ˈsab.ba.tum/
sabin\dae,/ˈsa.vʲən.de/,Sabīnī,sabin,/sa.ˈbi:.ni:/
sacarbaicc,/ˈsa.kər.vəkʲ/,*sacrficium,sacrfici,/sa.kər.ˈfi.ki.um/
sacart,/ˈsa.gərt/,sacerdōs,sacerdo,/sa.ˈker.do:s/
sacerdotal\acht,/ˈsa.gər.də.tə.ləxt/,sacerdotal,sacerdotal,/sa.ˈker.do.tal/
sachaill [?],/ˈsa.xəLʲ/,sagellum,sagell,/sa.ˈgel.lum/
Sachall,/ˈsa.xəL/,Sacellus,Sacell,/sa.ˈkel.lus/
sáegul,/ˈsaj.ɣul/,saeculum,saecul,/ˈsaj.ku.lum/
saiget,/ˈsa.ɣʲəd/,sagitta,sagitt,/sa.ˈgit.ta/
saile,/ˈsa.lʲe/,salīua,saliu,/sa.ˈli:.wa/
salland,/ˈsa.Lənd/,psallendum,psallend,/psal.ˈlen.dum/
salm,/ˈsalm/,psalmus,psalm,/ˈpsal.mus/
salt,/ˈsalt/,saltus,salt,/ˈsal.tus/
saltair,/ˈsal.tərʲ/,psaltērium,psalteri,/psal.ˈte:.ri.um/
Samsón,/ˈsaɱ.so:n/,Samsōn,Samson,/ˈsam.so:n/
sanctáir,/ˈsaŋk.ta:rʲ/,*sanctārium,sanctari,/saŋk.ˈta:.ri.um/
saphir,/ˈsa.fʲər/,sapphir,sapphir,/ˈsap.fir/
Sara,/ˈsa.rə/,Sara,Sara,/ˈsa.ra/
satan,/sa.tən/,Satan,Satan,/ˈsa.tan/
satharn,/ˈsa.θərn/,*Saturnus,Saturn,/sa.ˈtur.nus/
Sathel,/ˈsa.θʲəl/,Satahēl,Satahel,/ˈsa.ta.e:l/
Saturn,/ˈsa.durn/,Saturnus,Saturn,/sa.ˈtur.nus/
Saul,/sawl/,Saūl,Saul,/ˈsa.u:l/
scibar,/ˈʃkʲi.vər/,*piber,piber,/ˈpi.ber/
sciobaidh,/ˈʃkʲi.bəðʲ/,?,,
scioból,/ˈʃkʲi.bəl/,scōpārium,scopari,/sko:.ˈpa:.ri.um/
Scip,/ˈʃkʲip/,Scīpiō,scipio,/ˈski:.pi.o:/
screptar,/ˈʃkʲrʲeb.tər/,scriptūra,scriptur,/skrip.ˈtu:.ra/
screpul,/ˈʃkʲrʲe.bul/,*scriplus,scripl,/ˈskri.plus/
scríb\aid,/ˈʃkʲrʲi:.vəðʲ/,scrībō,scrib,/ˈskri:.bo:/
scríbend,/ˈʃkʲrʲi:.vʲənd/,scrībendum,scribend,/skri:.ˈben.dum/
scriptuir,/ˈʃkʲrʲib.turʲ/,scrīptūra,scriptur,/skri:p.ˈtu:.ra/
scrubl,/ˈskru.vəl/,scrūpulus,scrupul,/ˈskru:.pu.lus/
scrút\aid,/ˈskru:.dəðʲ/,scrūtor,scrut,/ˈskru:.tor/
scrútan,/ˈskru:.dən/,scrūtinium,scrutini,/skru:.ˈti.nium/
scúap,/ˈskuəb/,scōpa,scop,/ˈsko:.pa/
secal,/ˈʃe.gəl/,secāle,secal,/se.ˈka:.le/
Sechnall,/ˈʃex.nəL/,Secundīnus,Secundin,/se.kun.ˈdi:.nus/
secht,/ˈʃext/,fictus,fict,/ˈfik.tus/
sechtmon,/ˈʃext.ɱən/,septimāna,septiman,/sep.ti.ˈma:.na/
secndap,/ˈʃek.nəb/,secundus abbās,secund abba,/se.ˈkun.dus/+/ˈab.ba:s/
Secnde,/ˈʃek.ne/,Secundius,secundi,/se.ˈkun.di.us/
seib,/ˈʃevʲ/,faba,fab,/ˈfa.ba/
seicréit,/ˈʃe.gʲrʲe:dʲ/,sēkrētus,sekret,/se:.kre:.tus/
seinester,/ˈʃe.nʲə.ʃtʲər/,fenestra,fenestr,/fe.ˈnes.tra/
séire,/ˈʃe:.rʲe/,fēria,feri,/ˈfe:.ri.a/
séis,/ˈʃe:ʃ/,sēnsus,sens,/ˈse:n.sus/
Semei,/ˈʃe.ɱʲe.i/,Semeī,Semei,/ˈse.me.i:/
sén 1,/ˈʃe:n/,signum,sign,/ˈsiŋ.num/
senad 1,/ˈʃe.nəð/,synodus,synod,/ˈsi.no.dus/
senatóir,/ˈʃe.nə.do:rʲ/,senator,senator,/ˈse.na.tor/
Septién,/ˈʃep.tʲi.e:n/,septem,septem,/sep.tem/
ser,/ˈʃer/,Syrus,syr,/ˈsi.rus/
sercol,/ˈʃer.kəl/,ferculum,fercul,/ˈfer.ku.lum/
Sericán,/ˈʃe.rʲə.ga:n/,Sergius,Sergi,/'ser.gi.us/
Serupín,/ˈʃe.ru.pʲi:n/,seraphīn,seraphin,/ˈse.ra.fi:n/
sesra,/ˈʃe.srə/,*sestārius,sestari,/ses.ˈta:.ri.us/
sest,/ˈʃest/,*sesta,sest,/ˈses.ta/
Séth,/ˈʃe:θ/,Sēth,Seth,/ˈse:t/
síans,/ˈʃiəns/,sēnsus,sens,/ˈsen.sus/
síbal,/ˈʃi:.vəl/,fībula,fibul,/ˈfi:.bu.la/
Sicel\de,/ˈʃi.kʲəl.de/,Sicilia,sicili,/si.ˈki.li.a/
sigl\ithe,/ˈʃi.ɣʲlʲə.θʲe/,sigilla,sigill,/si.ˈgil.la/
sillab,/ˈʃi.Ləv/,syllaba,syllab,/ˈsil.la.ba/
Simmach,/ˈʃi.məx/,Symmachus,symmach,/ˈsim.ma.kus/
Simón,/ˈʃi.ɱo:n/,Simōn,Simon,/ˈsi.mo:n/
Sïón,/ˈʃi.o:n/,Sion,Sion,/ˈsi.on/
síthal,/ˈʃi:.θəl/,*sītula,situl,/ˈsi:.tu.la/
slécht\aid,/ˈʃlʲe:x.təðʲ/,flēctō,flect,/fle:k.to:/
slóch,/ˈslo:x/,*flōcus,flocc,/ˈflo:.kus/
Socráit,/ˈso.gra:dʲ/,Sōcratēs,socrat,/ˈso:.kra.te:s/
Sodaim,/ˈso.ðəɱ/,Sodoma,Sodom,/ˈso.do.ma/
sol,/ˈsol/,solum,sol,/ˈso.lum/
Solam 2,/ˈso.ləɱ/,Solomōn,Solomon,/ˈso.lo.mo:n/
sollummun,/ˈso.Lu.mun/,sollemne,sollemne,/sol.ˈlem.ne/
son 1,/ˈson/,sonus,son,/ˈso.nus/
sopp,/ˈsop/,stuppa,stupp,/ˈstup.pa/
