Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology
aracol,/ˈa.rə.gəl/,*orāclum,oracl,/o.ˈra:.klum/
Aran,/ˈa.rən/,Aran,Aran,/ˈa.ran/
árc,/ˈa:rk/,arca,arc,/ˈar.ka/
archaingel,/ˈar.xəŋʲ.gʲəl/,archangelus,archangel,/ar.ˈkaŋ.ge.lus
argumeint,/ˈar.gu.ɱʲənʲtʲ/,argūmentum,argument,/ar.gu:.ˈmen.tum/
Aristotil,/ˈa.rʲə.stə.təlʲ/,Aristotel,Aristotel,/a.ris.ˈto.te.le:s/
arm,/ˈarm/,arma,arm,/ˈar.ma/
Aron,/ˈa.rən/,Aarōn,Aaron,/ˈa.a.ro:n/
articol,/ˈarʲ.tʲə.gəl/,articulus,articul,/ar.ˈti.ku.lus/
Asaph,/ˈa.səf/,Asaph,Asaph,/ˈa.sap/
Asar,/ˈa.sər/,Assyria,assyri,/as.ˈsi.ri.a/
Atac,/ˈa.tək/,Atticus,attic,/ˈat.ti.kus/
atom,/ˈa.dəɱ/,atomus,atom,/ˈa.to.mus/
auctor,/ˈawx.tər/,auctor,auctor,/ˈawk.tor/
augtortás,/ˈawx.tər.ta:s/,auctōritās,auctoritas,/awk.ˈto:.ri.ta:s/
axal,/ˈax.səl/,apostolus,apostol,/a.ˈpos.to.lus/
Babilón,/ˈba.vʲə.lo:n/,Babylōn,babylon,/ˈba.bi.lo:n/
Bachal,/ˈba.al/,Baal,baal,/ˈba.al/
bachall,/ˈba.xəL/,baculum,bacul,/ˈba.ku.lum/
baislec,/ˈba.ʃlək/,basilica,basilic,/ba.ˈsi.li.ka/
baithes,/ˈba.θʲəs/,*batisma,batism,/ba.ˈtis.ma/
Bálam,/ˈba:.ləɱ/,Balaam,Balaam,/ˈba.la.am/
balb,/ˈbalb/,balbus,balb,/ˈbal.bus/
Baptaist,/ˈbap.təʃtʲ/,(Iōhannēs) Baptista,baptist,/ˈbap.tis.ta/
Barabán,/ˈba.rə.va:n/,Barabbās,Barabba,/ba.ˈrab.ba:s/
barbár,/ˈbar.ba:r/,barbarus,barbar,/ˈbar.ba.rus/
bárc,/ˈba:rk/,bārca,barc,/ˈba:r.ka/
Barnaip,/ˈbar.nəbʲ/,Barnabās,Barnaba,/ˈbar.na.ba:s/
Barnapán,/ˈbar.nə.ba:n/,Barnabās,Barnaba,/ˈbar.na.ba:s/
béist,/ˈbʲe:ʃtʲ/,bēstia,besti,/ˈbe:s.ti.a/
Beithlem,/ˈbʲe.θʲlʲəɱ/,Bēthlehēmum,Bethlehem,/be:t.le.ˈhe:.mum/
Belzefuth,/ˈbʲel.sə.fuθ/,Beelzebub,Beelzebub,/be.ˈel.ze.bub/
bendach\aid,/ˈbʲen.də.xəðʲ/,benedīcō,benedic,/be.ne.ˈdi:.ko:/
bendacht,/ˈbʲen.dəxt/,*bendictiō,bendictio,/ben.ˈdik.ti.o:/
Beneamín,/ˈbʲe.nʲə.ɱʲi:n/,Beniamin,Beniamin,/ˈben.ja.min/
Beor,/ˈbʲe.or/,Beor,be,/ˈbe.or/
berens\dae,/ˈbʲe.rʲən.ste/,beroeēnsis,beroeens,/be.re:.ˈe:n.sis/
Bersabae,/ˈbʲer.sə.ve/',Bethsabee,Bethsabee,/bet.ˈsa.be.e/
Bethel,/ˈbʲe.θʲəl/,Bethel,Bethel,/ˈbe.tel/
bethelem\dae,/ˈbʲe.θʲə.lʲəɱ.ðe/,Bēthlehēmum,Bethlehem,/be:t.le.ˈhe:.mum/
biait,/ˈbʲi.adʲ/,*bēatī,beat,/ˈbe:.a.ti:/
bináir,/ˈbʲi.na:rʲ/,*binārius,binari,/bi.ˈna:.ri.us/
bissex,/ˈbʲi.ʃəxs/,bissextus,bissext,/bis.ˈsek.stus/
Bordgal,/ˈbord.ɣəl/,Burdigalia,Burdigali,/bur.di.ˈga.li.a/
borg,/ˈborg/,burgus,burg,/ˈbur.gus/
braisech,/ˈbra.ʃəx/,brassica,brassic,/ˈbras.si.ka/
Bretain,/ˈbʲrʲe.tənʲ/,brittōnēs,britton,/brit.ˈto:.ne:s/
brongai\de,/ˈbroŋ.gə.ðʲe/,bronchia,bronchi,/ˈbroŋ.ki.a/
cachtor,/ˈkax.tər/,captor,captor,/ˈkap.tor/
cadch\ach,/ˈkað.xəx/,cadūcus,caduc,/ka.ˈdu:.kus/
cailech,/ˈka.lʲəx/,calicem,calic,/ˈka.li.kem/
cailech 3,/ˈka.lʲəx/,*calīgō,caligo,/ka.ˈli:.go:/
caille,/ˈka.Lʲe/,pallium,palli,/ˈpal.li.um/
caimmse,/ˈkamʲ.ʃʲe/,camisia,camisi,/ka.ˈmi.si.a/
caindel,/ˈkanʲ.dʲəl/,candēla,candel,/kan.ˈde:.la/
caingel,/ˈkaŋʲ.gʲəl/,cancella,cancell,/kaŋ.ˈkel.la/
Caïphas,/ˈka.i.fəs/,Caiāphās,Caiaphas,/ka.ˈja:.fa:s/
caiptel,/ˈkabʲ.dʲəl/,capitulum,capitul,/ka.ˈpi.tu.lum/
cair,/ˈkarʲ/,quaere,quare,/ˈkwa:.re:/
cairt,/ˈkarʲtʲ/,charta,chart,/ˈkar.ta/
cáise,/ˈka:.ʃe/,cāseus,case,/ˈka:.se.us/
caisel,/ˈka.ʃəl/,*castillum,castill,/kas.ˈtil.lum/
caland,/ˈka.lənd/,Kalendae,kalend,/ka.ˈlen.de:/
Cald,/ˈkald/,Chaldaeus,chaldae,/kal.ˈde:.us/
Caleb,/ˈka.lʲəv/,?,,
Calldea,/ˈkal.de.a/,Chaldaea,chaldae,/kal.ˈde:.a/
camall,/ˈka.ɱəL/,camellus,camell,/ka.mel.lus/
Cana,/ˈka.nə/,Cana,cana,/ka.na/
candadas,/ˈkan.də.ðəs/,candidus,candid,/ˈkan.di.dus/
cann,/ˈkaN/,panna,pann,/ˈpan.na/
Cannán,/ˈka.Na:n/,Chanaān,chanaan,/ˈka.na.a:n/
cannan\dae,/ˈka.nan.de/,Chanaān,chanaan,/ˈka.na.a:n/
canóin,/ˈka.no:nʲ/,canōn,canon,/ˈka.no:n/
caplait,/ˈka.blədʲ/,capillātiō,capillatio,/ka.pil.ˈla:.ti.o:/
cárachtar,/ˈka:.rəx.tər/,*chāracter,character,/ka:.ˈrak.ter/
carbuncail,/ˈkar.buŋ.kəlʲ/,carbunculus,carbuncul,/kar.ˈbuŋ.ku.lus/
carcar,/ˈkar.kər/,carcer,carcer,/ˈkar.ker/
carmocol,/ˈkar.ɱə.gəl/,carbunculus,carbuncul,/kar.ˈbuŋ.ku.lus/
cartóit,/ˈkar.to:dʲ/,*cartātem,cartat,/ˈkar.ta:.tem/
casal\dae,/ˈka.səl.de/,casula,casul,/ˈka.su.la/
cásc,/ˈka:sk/,Pāscha,pasch,/ˈpa:s.ka/
Cath,/ˈkaθ/,?,,
cathaír,/ˈka.θaʲrʲ/,cathedra,cathedr,/ˈka.te.dra/
cathchoimn\id,/ˈkaθ.xəɱʲ.nʲəð/',catēchūmenus,catechumen,/ka.te:.ˈku:.me.nus/
cathlach,/ˈka.θləx/,catholicus,catholic,/ka.ˈto.li.kus/
Catulán,/ˈka.tu.la:n/,Catulus,catul,/ˈka.tu.lus/
cedair,/ˈkʲe.dərʲ/,cedrus,cedr,/ˈke.drus/
