period,mean,std,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
0,121.6,23.243063481391605,109.0,98.0,124.0,135.0,142.0,160.0,153.0,99.0,98.0,98.0
1,109.6,65.9017450451807,98.0,175.0,145.0,7.0,7.0,71.0,65.0,178.0,175.0,175.0
2,61.8,50.822829515878,87.0,19.0,23.0,154.0,147.0,62.0,74.0,14.0,19.0,19.0
3,1.798,1.24869371745036,0.0,3.0,3.0,1.98,0.0,2.0,2.0,0.0,3.0,3.0
4,2.402,3.7457223602397445,7.0,0.0,0.0,0.02,7.0,0.0,0.0,10.0,0.0,0.0
5,2.8,1.8330302779823362,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0
6,231.0,1.5491933384829668,230.0,232.0,232.0,229.0,228.0,232.0,233.0,230.0,232.0,232.0
