period,mean,std,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
0,134.7,12.418131904598212,140.0,150.0,140.0,124.0,140.0,128.0,153.0,117.0,140.0,115.0
1,13.6,20.47046653107838,7.0,7.0,6.0,7.0,7.0,7.0,7.0,75.0,6.0,7.0
2,150.8,18.940960904874917,153.0,142.0,153.0,168.0,153.0,165.0,140.0,104.0,153.0,177.0
3,1.6,0.8000000000000002,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
4,1.4,2.8,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
5,3.2,1.6000000000000003,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0
6,245.7,0.9,245.0,245.0,246.0,246.0,245.0,245.0,245.0,248.0,246.0,246.0
