period,mean,std,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
0,132.4,9.221713506718803,135.0,142.0,147.0,122.0,135.0,122.0,122.0,142.0,135.0,122.0
1,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2,156.6,9.221713506718803,154.0,147.0,142.0,167.0,154.0,167.0,167.0,147.0,154.0,167.0
3,1.6,0.8000000000000002,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
4,1.4,2.8,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
5,3.2,1.6000000000000003,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0
6,228.8,0.4,229.0,228.0,229.0,229.0,229.0,229.0,229.0,228.0,229.0,229.0
