awk.'to:.ri.ta:s,/ˈawx.tər.ta:s/,auctōritās,augtortás
'aw.r,/ˈo:r/,aurum,ór 1
awk.ˈsi.li.,/ˈu:.sə.lʲe/,auxilius,úsaile
ak.'sil.l,/ˈox.səl/,axilla,ochsal
'ba.al,/ˈba.al/,Baal,Bachal
'ba.bi.lo:n,/ˈba.vʲə.lo:n/,Babylōn,Babilón
'ba.ku.l,/ˈba.xəL/,baculum,bachall
'ba.la.am,/ˈba:.ləɱ/,Balaam,Bálam
'bal.b,/ˈbalb/,balbus,balb
'bap.tis.t,/ˈbap.təʃtʲ/,(Iōhannēs) Baptista,Baptaist
ba.'rab.ba:,/ˈba.rə.va:n/,Barabbās,Barab\án
'bar.ba.r,/ˈbar.ba:r/,barbarus,barbár
'ba:r.k,/ˈba:rk/,bārca,bárc
'bar.na.ba:,/ˈbar.nəbʲ/,Barnabās,Barnaip
'bar.na.ba:,/ˈbar.nə.ba:n/,Barnabās,Barnap\án
ba.'si.li.k,/ˈba.ʃlək/,basilica,baislec
ba.'tis.m,/ˈba.θʲəs/,*batisma,baithes
'be.or,/ˈbʲe.or/,Beor,Beor
'be:.a.t,/ˈbʲi.adʲ/,*bēatī,biait
be.'el.ze.bub,/ˈbʲel.sə.fuθ/,Beelzebub,Belzefuth
ben.'dik.ti.o:,/ˈbʲen.dəxt/,*bendictiō,bendacht
be.ne.'di:.k,/ˈbʲen.də.xəðʲ/,benedīcō,bendach\aid
'ben.ja.min,/ˈbʲe.nʲə.ɱʲi:n/,Beniamin,Beneamín
be.re:.'e:n.s,/ˈbʲe.rʲən.ste/,beroeēnsis,berens\dae
'be:s.ti.,/ˈbʲe:ʃtʲ/,bēstia,béist
'be.tel,/ˈbʲe.θʲəl/,Bethel,Bethel
be:t.le.'he:.m,/ˈbʲe.θʲlʲəɱ/,Bēthlehēmum,Beithlem
be:t.le.'he:.m,/ˈbʲe.θʲə.lʲəɱ.ðe/,Bēthlehēmum,bethelem\dae
bet.'sa.be.e,/ˈbʲer.sə.ve/',Bethsabee,Bersabae
bi.'na:.ri.,/ˈbʲi.na:rʲ/,*binārius,bináir
bis.'sek.st,/ˈbʲi.ʃəxs/,bissextus,bissex
'bras.si.k,/ˈbra.ʃəx/,brassica,braisech
brit.'to:.n,/ˈbʲrʲe.tənʲ/,brittōnēs,Bretain
'broŋ.ki.,/ˈbroŋ.gə.ðʲe/,bronchia,brongai\de
bur.di.'ga.li.,/ˈbord.ɣəl/,Burdigalia,Bordgal
'bur.g,/ˈborg/,burgus,borg
ka.'du:.k,/ˈkað.xəx/,cadūcus,cadch\ach
ka.'ja:.fa:s,/ˈka.i.fəs/,Caiāphās,Caïphas
ka.'li:.go:,/ˈka.lʲəx/,calicem,cailech
'ka.li.k,/ˈka.lʲəx/,*calīgō,cailech 3
ka.mel.l,/ˈka.ɱəL/,camellus,camall
ka.'mi.si.,/ˈkamʲ.ʃʲe/,camisia,caimmse
ka.n,/ˈka.nə/,Cana,Cana
kaŋ.'kel.l,/ˈkaŋʲ.gʲəl/,cancella,caingel
kan.'de:.l,/ˈkanʲ.dʲəl/,candēla,caindel
