Latin Stem,Irish Stem,Latin Lemma,Irish Autodate Lemma,Source
ˈglo:.s,/ˈgluəs/,glōsa,glúas,"Wb.,Sg."
gra:.d,/ˈgra:ð/,*grādus,grád 1,"Wb.,Ml.,Sg."
gra.w,/ˈgrafʲ/,grauis,graif 3,Sg.
gram.'ma.ti.k,/ˈgra.mə.dəkʲ/,grammatica,grammataicc,MG
'gre:.k,/ˈgʲrʲe:g/,*grēcus,gréc 1,"Ml.,Sg."
i.'do:.ne.,/ˈi.ðən/,idōneus,idan,McManus/Other
i:.'do:.l,/ˈi:.ðəl/,īdōlum,ídol,"Wb.,Ml.,Sg."
je.'na:.ri.,/ˈje.nər/,*ienārius,Ienar,"Blathmac,MG"
i.ˈfer.n,/ˈi.fʲərn/,*ifernum,ifern,Wb.
'i:.li.k,/ˈi.lʲək.ðe,īlicem,ilec\de,Sg.
'i:.lig.n,/ˈi.lʲəɣ.nʲə.ðʲe/,īlignus,ilign\ide,Sg.
'i.na.k,/ˈi.nək.ðe/,Inachus,inach\dae,Sg.
in.ˈdik.ti.o:,/ˈin.dʲəxt/,indictiō,indecht,MG
in.fi:.'ni:.t,/ˈinʲ.fʲə.nʲədʲ/,infīnītum,infinit,"Ml.,Sg."
'aŋ.ko.r,/ˈiŋ.gər/,ancora,ingor 1,"Wb.,Sg."
in.ter.'jek.ti.o:,/ˈinʲ.tʲə.rʲəxt/,interiectiō,interiecht,"Ml.,Sg."
in.tel.'lek.t,/ˈinʲ.tʲluxt/,intellectus,intliucht,McManus/Other
i:.ro:.ˈni:.,/ˈi:.ro:nʲ/,īrōnīa,íróin,Ml.
'ju:.li.,/ˈju:lʲ/,Iūlius,iúil,MG
'la:.i.k,/ˈlajx/,lāicus,láech,MG
'la:r.t,/ˈlart/,Lartem,lart,Sg.
'la.ter,/ˈla.tʲər/,later,later,Ml.
la.'ti:.n,/ˈla.dʲən/,Latīnus,Latin,Sg.
la.'tro:n,/ˈla.drəN/,latrōnem,latrann,McManus/Other
law.'ren.ti.,/ˈlaw.rʲən.tə.ðʲe,Laurentium,laurent\ide,Sg.
'lak.s,/ˈlaks/,laxus,lax,Ml.
'li.br,/ˈlʲe.vər/,librum,lebor,"Wb.,Ml.,Sg.,MG"
'li.ket,/ˈlʲe.gʲəd/,licet,lecet,Ml.
'li.kwi.d,/ˈlʲex.ðəɣʲ.θʲe/,liquidus,lechd\aig\the,MG
'le.g,/ˈlʲe:.ɣəðʲ/,legō,lég\aid,"Wb.,Ml.,Sg."
'le.gi.o:,/ˈle:.gʲo:n/,legiōnem,léigeón,Blathmac
'le.o:,/ˈlʲew/,leō,leo,"Blathmac,Ml.,Sg."
le:.wi:.t,/ˈle:w.tʲe/,Lēvītēs,Leuit\e,Wb.
ˈli.gu.r,/ˈlʲi.ɣər.ðe/,Ligurēs,ligor\dae,Sg.
'li:.n,/ˈlʲi:n.de/,līnum,lín\dae,MG
'li:.ne.,/ˈlʲi:.nʲəx/,līnea,lín\ech,Sg.
'li:.t,/ˈlʲi:θ/,lītus,líth,McManus/Other
'lit.te.r,/ˈlʲi.tʲər/,littera,litter,"Ml.,Sg.,MG"
'lo.k,/lˈog/,locus,loc,Sg.
lu:.'ker.n,/ˈlo:.xərn/,*lūcerna,lócharn,"Sg.,MG"
'loŋ.g,/ˈloŋ/,(nāvis) longa,long 1,MG
la.'bo:.r,/ˈlu.vərʲ/,labōrem,lubair,McManus/Other
'lu.kas,/lu.kəs/,Lucas,Lucas,Wb.
'lu:.ki.fer,/lu.kʲə.fʲər/,lūcifer,Lucifer,Blathmac
lo:.'ri:.k,/ˈlu:.rəx/,lōrīca,lúirech,McManus/Other
lu.'na:.r,/ˈlu.na:rʲ/,*lunāris,lunáir,MG
ma.ke.'do.ni.,/ˈma.kʲə.ðo:n.de/,Macedonia,Maccidón\dae,Wb.
'ma.ku.l,/ˈma:.xəLʲ/,macula,máchaill,McManus/Other
ma.'ke.ri.,/ˈma.gre/,maceria,macrae,MG
ma.'gis.ter,/ˈma.ɣʲə.ʃtʲər/,magister,maigister,"Wb.,Ml."
'ma.ni.a,/ˈma:.nʲə/,mania,máinia,McManus/Other
mal.'di:.k,/ˈmal.də.xəðʲ/,*maldīcō,maldach\aid,Wb.
'ma.na.k,/ˈma.nəx/,*manachus,manach,McManus/Other
'man.n,/ˈmaN/,manna,mann,"Wb.,Ml."
'ma:r.k,/ˈmark/,Mārcus,Marc,Blathmac
ˈmar.gi.n,/ˈmar.gən/,marginem,margan,MG
mar.ga.'ri:.t,/ˈmar.gə.rʲe:d/,margarīta,margarét,Blathmac
'mar.mor,/ˈmar.mər/,marmor,marmar,Sg.
'mar.t,/ˈmart/,Martis,Mart,MG
'mar.tir,/ˈmar.tər/,martyr,martar,"Blathmac,MG"
'mas.ku.l,/ˈma.skul/,masculus,mascul,Sg.
'mas.s,/ˈmas/,massa,mass,MG
ma'ti:.n,/ˈma.dən/,(hōra) matīna,matan,"Ml.,MG"
me.'mo.ri.,/ˈmʲe.vurʲ/,memoria,mebuir,Wb.
'me:.d,/ˈmʲeð/,Mēdus,Med 2,Ml.
me.ˈre.tri.k,/ˈmʲerʲ.dʲrʲəx/,meretricem,meirdrech,Wb.
ˈmem.brum,/ˈmʲem.brum/,membrum,membrumm,"Sg.,MG"
me.'mo.ri.,/ˈmʲe.mre/,memoria,memmrae,MG
me.'su:.r,/ˈmʲe.sər/,*mesūra,messar,McManus/Other
'me.tr,/ˈmʲe.dər/,metrum,metar 1,"Ml.,Sg."
me:.'tro.bo.l,/ˈme.drə.bəlʲ/,mētropolis,metrapoil,Ml.
ˈme.di.k,/ˈmʲi.ðəx/,medicus,midach,McManus/Other
'mi:.le,/ˈmʲi:l/,mīles,míl 2,"Wb.,Sg."
'mi:.li.,/ˈmʲi:.lʲe/,mīlia,míle,"Wb.,Blathmac,Ml.,MG"
'mi:.n,/ˈmʲin/,mīnus,min 1,"Wb.,Ml.,Sg."
men.'di:.k,/ˈmʲinʲ.dʲəx/,mendīcus,mindech,McManus/Other
mi:.'ra:.bi.l,/ˈmʲi:r.vəlʲ/,mīrābilis,mírbail,McManus/Other
'mir.t,/ˈmʲirt/,myrtus,mirt–,Sg.
ˈma.ku.l,/ˈmo.gəl/,macula,mocol,Sg.
'mo.d,/ˈmoð/,modus,mod,"Wb.,Ml.,Sg."
mo.nis.'te:.ri.,/ˈmo.nʲə.ʃtʲərʲ/,*monistērium,moinistir,MG
mor.ti.'ki.ni.,/ˈmorʲtʲ.xʲəN/,morticinium,moirtchenn,MG
