Latin Stem,Irish Stem,Latin Lemma,Irish Autodate Lemma,IrishS Standardized Lemma,ALT LEMMA,Root of Excluded Derivative,Source,Omission Reason
ˈka.na.a:n,/ˈka.Na:n/,Chanaān,Cannán,Cannán,,,"Blathmac,MG",Hebrew>Latin>Irish
,,,,cannán-dae,cannan-dae,Cannán,Ml.,Derivative
,,,,car-mocol,,mocol,Sg.,Derivative
ˈkat,/ˈkaθ/,Chath,Cath,Cath,,,Ml.,Hebrew>Latin>Irish
,,,,cedar-dae,,cedair,Ml.,Derivative
,,,,ceilebr-ad,,ceilebr-aid,Wb.,Derivative
ki:.r,/ˈkʲer/,Cȳrus,Cer,Cer,,,MG,Hebrew>Latin>Irish
ˈkam,/ˈkaɱ/,Cham,Cham,Cham,,,Ml.,Hebrew>Latin>Irish
ˈke.ru.bi:n,/ˈxʲe.ru.fʲi:n/,Cherubīn,Cherupín,Cherupín,,,Blathmac,Hebrew>Latin>Irish
ˈkus,/ˈkus/,Chus,Chus,Chus,,,Ml.,Hebrew>Latin>Irish
ki:.r,/ˈkʲi:r/,Cȳrus,Cír,Cír,,,Ml.,Hebrew>Latin>Irish
,,,,cís-tae,,cís,Sg.,Derivative
,,,,clan[d]-tae,,cland,"Wb.,Sg.",Derivative
,,,,cland-aid,,cland,"Wb.,Ml.,Sg.",Derivative
kle:.ri.k,/ˈkʲlʲe:.rʲəx/,clēricus,cléirech,cléirech,,clér,McManus/Other,Derivative
,,,,coisecr-ad,cosecr-ad,con·secra,Ml.,Derivative
kol.ki.,/ˈkol.xi.e/,Colchis,colchiae,colchi-ae,,colche-de?,Sg.,Derivative
ka.'len.d,/ˈko.Lən.də.rəxt/,kalendae,colland\oracht,collandor-acht,,caland,Ml.,Latin Derivative
,,,,colum-nat,,columm,Sg.,Derivative
,,,,con·scríb-a,,scríb-aid,Blathmac,Derivative
,,,,corcr-ach,,corcur,MG,Derivative
,,,,corcr-ae,,corcur,Blathmac,Derivative
ˈko.re,/ˈko.re/,Core,Core,Core,,,Ml.,Hebrew>Latin>Irish
,,,,Corint-[t]ae,,Corint,Wb.,Derivative
,,,,cornal-dae,,Cornil,Sg.,Derivative
,,,,corp-ach,,corp,Sg.,Derivative
,,,,corp-dae,,corp,Wb.,Derivative
,,,,corp-tha-tu,corp-tha-du,corp,Wb.,Derivative
,,,,críst-aide,,Críst,"Wb.,Ml.",Derivative
,,,,croch-ad,,croch,"Wb.,Blathmac,Ml.",Derivative
