burg,/'bur.gus/,'bur.g
caduc,/ka.'du:.kus/,ka.'du:.k
caes,/'ke:.sus/,'ke:.s
Caiaphas,/ka.'ja:.fa:s/,ka.'ja:.fa:s
caligo,/ka.'li:.go:/,ka.'li:.go:
calic,/'ka.li.kem/,'ka.li.k
camell,/ka.mel.lus/,ka.mel.l
camisi,/ka.'mi.si.a/,ka.'mi.si
can,/ka.na/,ka.n
cancell,/kaŋ.'kel.la/,kaŋ.'kel.l
candel,/kan.'de:.la/,kan.'de:.l
candid,/'kan.di.dus/,'kan.di.d
cannab,/'kan.na.bis/,'kan.na.b
cannul,/'kan.nu.la/,'kan.nu.l
canon,/'ka.no:n/,'ka.no:n
capillatio,/ka.pil.'la:.ti.o:/,ka.pil.'la:.ti.o:
capitul,/ka.'pi.tu.lum/,ka.'pi.tu.l
captor,/'kap.tor/,'kap.tor
carbuncul,/kar.'buŋ.ku.lus/,kar.'buŋ.ku.l
carbuncul,/kar.'buŋ.ku.lus/,kar.'buŋ.ku.l
carcer,/'kar.ker/,'kar.ker
cart,/'kar.ta:s/,'kar.t
case,/'ka:.se.us/,'ka:.se
castill,/kas.'til.lum/,kas.'til.l
casul,/'ka.su.la/,'ka.su.l
catechumen,/ka.te:.'ku:.me.nus/,ka.te:.'ku:.me.n
cathedr,/'ka.te.dra/,'ka.te.dr
catholic,/ka.'to.li.kus/,ka.'to.li.k
catul,/'ka.tu.lus/,'ka.tu.l
caus,/'kaw.sa/,'kaw.s
cedr,/'ke.drus/,'ke.dr
celebr,/'ke.le.bro:/,'ke.le.br
centr,/'ken.trum/,'ken.tr
cer,/'ke:.ra/,'ke:.r
cert,/'ker.tus/,'ker.t
cervical,/ker.'wi:.kal/,ker.'wi:.kal
chaldae,/kal.'de:.us/,kal.'de:
chaldae,/kal.'de:.a/,kal.'de:
chanaan,/'ka.na.a:n/,'ka.na.a:n
chanaan,/'ka.na.a:n/,'ka.na.a:n
character,/ka:.'rak.ter/,ka:.'rak.ter
chart,/'kar.ta/,'kar.t
cherubin,/'ke.ru.bi:n/,'ke.ru.bi:n
cherubin,/'ke.ru.bi:n/,'ke.ru.bi:n
christ,/'kris.tus/,'kris.t
christian,/kris.ti.'a:.nus/,kris.ti.'a:.n
cingla,/'kiŋ.gla/,'kiŋ.gla
cipp,/'kip.pus/,'kip.p
circul,/'kir.ku.lus/,'kir.ku.l
circumflex,/kir.kum.'flek.sus/,kir.kum.'flek.s
cist,/'kis.ta/,'kis.t
class,/'klas.sis/,'klas.s
clausul,/'klaw.su.la/,'klaw.su.l
cler,/'kle:.rus/,'kle:.r
cleric,/'kle:.ri.kus/,'kle:.ri.k
cocin,/ko.'ki:.na/,ko.'ki:.n
coctur,/kok.'tu:.ra/,kok.'tu:.r
cohort,/'ko.hor.tem/,'ko.hor.t
Colchidem,/'kol.ki.dem/,'kol.ki.d
Colchi,/'kol.kis/,'kol.ki
columb,/ko.'lum.ba/,ko.'lum.b
column,/ko.'lum.na/,ko.'lum.n
communio,/kom.'mu:.ni.o:/,kom.'mu:.ni.o:
comparatiu,/kom.pa.ra:.'ti:.wus/,kom.pa.ra:.'ti:.w
confessio,/ko:n.'fes.si.o:/,ko:n.'fes.si.o:
confiteor,/ko:n.'fi.te.or/,ko:n.'fi.teor
consecr,/ko:n.se.kro:/,ko:n.se.kr
conson,/'ko:n.so.nus/,'ko:n.so.n
constantinopol,/ko:ns.tan.ti:.'no.po.lis/,ko:ns.tan.ti:.'no.po.l
consul,/'ko:n.sul/,'ko:n.sul
consummatio,/ko:n.sum.'ma:.ti.o:/,ko:n.sum.'ma:.ti.o:
contentio,/kon.'ten.ti.o:/,kon.'ten.ti.o:
contract,/kon.'trak.tus/,kon.'trak.t
corinth,/ko.'rin.tus/,ko.'rin.t
Corneli,/kor.'ne:.li.us/,kor.'ne:.li
corpus,/'kor.pus/,'kor.pus
crepuscul,/kre.'pus.ku.lum/,kre.'pus.ku.l
creterr,/kre.'ter.ra/,kre.'ter.r
croc,/'kro:.kus/,'kro:.k
crotal,/'kro.ta.lum/,'kro.ta.l
crotali,/kro.'ta.li.a/,kro.'ta.li
cruk,/'kru.kem/,'kru.k
crux,/'kruks/,'kruks
cub,/'ku.bō/,'ku.b
cub,/'ku.bus/,'ku.b
cucull,/ku.'kul.lus/,ku.'kul.l
culcit,/'kul.ki.ta/,'kul.ki.t
culin,/ku.'li:.na/,ku.'li:.n
cultr,/'kul.trum/,'kul.tr
cumer,/'ku.me.ra/,'ku.me.r
curt,/'kur.tis,'kur.t
curtin,/kur.'ti:.na/,kur.'ti:.n
cycl,/'ki.klus/,'ki.kl
Cyclasia,/ki.kla.si.as/,ki.kla.si.a
