Latin Stem Phonology,Irish Phonology,Latin Word,Latin Stem,Irish Word,Latin Word Phonology
a.'pos.to.l,/ˈax.səl/,apostolus,apostol,axal,/a.'pos.to.lus/
a.'pos.tro.f,/ˈa.bə.strəfʲ/,apostrophus,apostroph,apostroiph,/a.'pos.tro.fus/
a.'pri:.l,/ˈa.bʲrʲe:lʲ/,Aprīlis,april,Apréil,/a.'pri:.lis/
'a.kwi.l,/ˈa.kəlʲ/,Aquila,aquil,Aquil,/'a.kwi.la/
'a:.rab,/ˈa.rəv.ðe/,Ārabem,arab,arab\dae,/'a:.rabem/
'a.ran,/ˈa.rən/,Aran,Aran,Aran,/'a.ran/
'ar.k,/ˈa:rk/,arca,arc,árc,/'ar.ka/
ar.'kaŋ.ge.l,/ˈar.xəŋʲ.gʲəl/,archangelus,archangel,archaingel,/ar.'kaŋ.ge.lus
ar.gu:.'men.t,/ˈar.gu.ɱʲənʲtʲ/,argūmentum,argument,argumeint,/ar.gu:.'men.tum/
a.ris.'to.te.le:s,/ˈa.rʲə.stə.təlʲ/,Aristotelēs,Aristoteles,Aristotil,/a.ris.'to.te.le:s/
'ar.m,/ˈarm/,arma,arm,arm,/'ar.ma/
ar.'ti.ku.l,/ˈarʲ.tʲə.gəl/,articulus,articul,articol,/ar.'ti.ku.lus/
'a.sap,/ˈa.səf/,Asaph,Asaph,Asaph,/'a.sap/
as.'si.ri.,/ˈa.sər/,Assyria,assyri,Asar,/as.'si.ri.a/
as.te.'ri:s.k,/ˈa.ʃtʲrʲəsk/,asterīscus,asterisc,aistrisc,/as.te.'ri:s.kus/
as.ti.'a:.ri.,/ˈa.ʃtʲə.rʲe/,*astiārius,astiari,aistire,/as.ti.'a:.ri.us/
'a.to.m,/ˈa.dəɱ/,atomus,atom,atom,/'a.to.mus/
'at.tat,/ˈatʲ/,attat,attat,aitt,/'at.tat/
'at.ti.k,/ˈa.tək/,Atticus,attic,Atac,/'at.ti.kus/
'awk.tor,/ˈawx.tər/,auctor,auctor,auctor,/'awk.tor/
awk.'to:.ri.ta:s,/ˈawx.tər.ta:s/,auctōritās,auctoritas,augtortás,/awk.'to:.ri.ta:s/
'aw.r,/ˈo:r/,aurum,aur,ór 1,/'aw.rum/
awk.ˈsi.li.,/ˈu:.sə.lʲe/,auxilius,auxili,úsaile,/awk.ˈsi.li.us/
ak.'sil.l,/ˈox.səl/,axilla,axill,ochsal,/ak.'sil.la/
'ba.al,/ˈba.al/,Baal,baal,Bachal,/'ba.al/
'ba.bi.lo:n,/ˈba.vʲə.lo:n/,Babylōn,babylon,Babilón,/'ba.bi.lo:n/
'ba.ku.l,/ˈba.xəL/,baculum,bacul,bachall,/'ba.ku.lum/
'ba.la.am,/ˈba:.ləɱ/,Balaam,Balaam,Bálam,/'ba.la.am/
'bal.b,/ˈbalb/,balbus,balb,balb,/'bal.bus/
'bap.tis.t,/ˈbap.təʃtʲ/,(Iōhannēs) Baptista,baptist,Baptaist,/'bap.tis.ta/
ba.'rab.ba:,/ˈba.rə.va:n/,Barabbās,Barabba,Barab\án,/ba.'rab.ba:s/
'bar.ba.r,/ˈbar.ba:r/,barbarus,barbar,barbár,/'bar.ba.rus/
'ba:r.k,/ˈba:rk/,bārca,barc,bárc,/'ba:r.ka/
'bar.na.ba:,/ˈbar.nəbʲ/,Barnabās,Barnaba,Barnaip,/'bar.na.ba:s/
'bar.na.ba:,/ˈbar.nə.ba:n/,Barnabās,Barnaba,Barnap\án,/'bar.na.ba:s/
ba.'si.li.k,/ˈba.ʃlək/,basilica,basilic,baislec,/ba.'si.li.ka/
ba.'tis.m,/ˈba.θʲəs/,*batisma,batism,baithes,/ba.'tis.ma/
'be.or,/ˈbʲe.or/,Beor,be,Beor,/'be.or/
'be:.a.t,/ˈbʲi.adʲ/,*bēatī,beat,biait,/'be:.a.ti:/
be.'el.ze.bub,/ˈbʲel.sə.fuθ/,Beelzebub,Beelzebub,Belzefuth,/be.'el.ze.bub/
ben.'dik.ti.o:,/ˈbʲen.dəxt/,*bendictiō,bendictio,bendacht,/ben.'dik.ti.o:/
be.ne.'di:.k,/ˈbʲen.də.xəðʲ/,benedīcō,benedic,bendach\aid,/be.ne.'di:.ko:/
'ben.ja.min,/ˈbʲe.nʲə.ɱʲi:n/,Beniamin,Beniamin,Beneamín,/'ben.ja.min/
be.re:.'e:n.s,/ˈbʲe.rʲən.ste/,beroeēnsis,beroeens,berens\dae,/be.re:.'e:n.sis/
'be:s.ti.,/ˈbʲe:ʃtʲ/,bēstia,besti,béist,/'be:s.ti.a/
'be.tel,/ˈbʲe.θʲəl/,Bethel,Bethel,Bethel,/'be.tel/
be:t.le.'he:.m,/ˈbʲe.θʲlʲəɱ/,Bēthlehēmum,Bethlehem,Beithlem,/be:t.le.'he:.mum/
be:t.le.'he:.m,/ˈbʲe.θʲə.lʲəɱ.ðe/,Bēthlehēmum,Bethlehem,bethelem\dae,/be:t.le.'he:.mum/
bet.'sa.be.e,/ˈbʲer.sə.ve/',Bethsabee,Bethsabee,Bersabae,/bet.'sa.be.e/
bi.'na:.ri.,/ˈbʲi.na:rʲ/,*binārius,binari,bináir,/bi.'na:.ri.us/
