Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology,,,,,,,
argumeint,/'ar.gu.ɱʲənʲtʲ/,argūmentum,argument,/ar.gu:.'men.tum/,,,,,,,
Aristotil,/'a.rʲə.stə.təlʲ/,Aristotelēs,Aristoteles,/a.ris.'to.te.le:s/,,,,,,,
arm,/'arm/,arma,arm,/'ar.ma/,,,,,,,
Aron,/'a.rən/,Aarōn,Aaron,/'a.a.ro:n/,,,,,,,
articol,/'arʲ.tʲə.gəl/,articulus,articul,/ar.'ti.ku.lus/,,,,,,,
Asaph,/'a.səf/,Asaph,Asaph,/'a.sap/,,,,,,,
Asar,/'a.sər/,Assyria,assir,/as.'si.ri.a/,,,,,,,
Atac,/'a.tək/,Atticus,attic,/'at.ti.kus/,,,,,,,
atom,/'a.dəɱ/,atomus,atom,/'a.to.mus/,,,,,,,
auctor,/'awx.tər/,auctor,auctor,/'awk.tor/,,,,,,,
augtortás,/'awx.tər.ta:s/,auctōritās,auctoritas,/awk.'to:.ri.ta:s/,,,,,,,
axal,/'ax.səl/,apostolus,apostol,/a.'pos.to.lus/,,,,,,,
Babilón,/'ba.vʲə.lo:n/,Babylōn,babilon,/'ba.bi.lo:n/,,,,,,,
Bachal,/'ba.al/,Baal,baal,/'ba.al/,,,,,,,
bachall,/'ba.xəL/,baculum,bacul,/'ba.ku.lum/,,,,,,,
baislec,/'ba.ʃlək/,basilica,basilic,/ba.'si.li.ka/,,,,,,,
baithes,/'ba.θʲəs/,*batisma,batisma,/ba.'tis.ma/,,,,,,,
Bálam,/'ba:.ləɱ/,Balaam,Balaam,/'ba.la.am/,,,,,,,
balb,/'balb/,balbus,balb,/'bal.bus/,,,,,,,
Baptaist,/'bap.təʃtʲ/,(Iōhannēs) Baptista,baptist,/'bap.tis.ta/,,,,,,,
Barabán,/'ba.rə.va:n/,Barabbās,Barabbas,/ba.'rab.ba:s/,,,,,,,
barbár,/'bar.ba:r/,barbarus,barbar,/'bar.ba.rus/,,,,,,,
bárc,/'ba:rk/,bārca,barc,/'ba:r.ka/,,,,,,,
Barnaip,/'bar.nəbʲ/,Barnabās,Barnabas,/'bar.na.ba:s/,,,,,,,
Barnapán,/'bar.nə.ba:n/,Barnabās,Barnabas,/'bar.na.ba:s/,,,,,,,
béist,/'bʲe:ʃtʲ/,bēstia,besti,/'be:s.ti.a/,,,,,,,
Beithlem,/'bʲe.θʲlʲəɱ/,Bēthlehēmum,Bethlehemum,/be:t.le.'he:.mum/,,,,,,,
Belzefuth,/'bʲel.sə.fuθ/,Beelzebub,Beelzebub,/be.'el.ze.bub/,,,,,,,
bendach\aid,/'bʲen.də.xəðʲ/,benedīcō,benedic,/be.ne.'di:.ko:/,,,,,,,
bendacht,/'bʲen.dəxt/,*bendictiō,bendictio,/ben.'dik.ti.o:/,,,,,,,
Beneamín,/'bʲe.nʲə.ɱʲi:n/,Beniamin,Beniamin,/'ben.ja.min/,,,,,,,
Beor,/'bʲe.or/,Beor,be,/'be.or/,,,,,,,
berens\dae,/'bʲe.rʲən.ste/,beroeēnsis,beroeensis,/be.roj.'e:n.sis/,,,,,,,
Bersabae,/'bʲer.sə.ve/',Bethsabee,Bethsabee,/bet.'sa.be.e/,,,,,,,
Bethel,/'bʲe.θʲəl/,Bethel,Bethel,/'be.tel/,,,,,,,
bethelem\dae,/'bʲe.θʲə.lʲəɱ.ðe/,Bēthlehēmum,Bethlehemum,/be:t.le.'he:.mum/,,,,,,,
biait,/'bʲi.adʲ/,*bēatī,beat,/'be:.a.ti:/,,,,,,,
bináir,/'bʲi.na:rʲ/,*binārius,binari,/bi.'na:.ri.us/,,,,,,,
bissex,/'bʲi.ʃəxs/,bissextus,bissext,/bis.'sek.stus/,,,,,,,
Bordgal,/'bord.ɣəl/,Burdigalia,Burdigalia,/bur.di.'ga.li.a/,,,,,,,
borg,/'borg/,burgus,burg,/'bur.gus/,,,,,,,
braisech,/'bra.ʃəx/,brassica,brassic,/'bras.si.ka/,,,,,,,
Bretain,/'bʲrʲe.tənʲ/,brittōnēs,britton,/brit.'to:.ne:s/,,,,,,,
brongai\de,/'broŋ.gə.ðʲe/,bronchia,bronchi,/'broŋ.ki.a/,,,,,,,
cachtor,/'kax.tər/,captor,captor,/'kap.tor/,,,,,,,
cadch\ach,/'kað.xəx/,cadūcus,caduc,/ka.'du:.kus/,,,,,,,
cailech,/'ka.lʲəx/,calix,calix,/'ka.liks/,,,,,,,
cailech 3,/'ka.lʲəx/,*calīgō,caligo,/ka.'li:.go:/,,,,,,,
caille,/'ka.Lʲe/,pallium,palli,/'pal.li.um/,,,,,,,
caimmse,/'kamʲ.ʃʲe/,camisia,camisi,/ka.'mi.si.a/,,,,,,,
caindel,/'kanʲ.dʲəl/,candēla,candel,/kan.'de:.la/,,,,,,,
caingel,/'kaŋʲ.gʲəl/,cancella,cancell,/kaŋ.'kel.la/,,,,,,,
Caïphas,/'ka.i.fəs/,Caiāphās,Caiaphas,/ka.'ja:.fa:s/,,,,,,,
caiptel,/'kabʲ.dʲəl/,capitulum,capitul,/ka.'pi.tu.lum/,,,,,,,
cair,/'karʲ/,quaere,quaer,/'kwaj.re/,,,,,,,
cairt,/'karʲtʲ/,charta,chart,/'kar.ta/,,,,,,,
cáise,/'ka:.ʃe/,cāseus,case,/'ka:.se.us/,,,,,,,
caisel,/'ka.ʃəl/,*castillum,castillum,/kas.'til.lum/,,,,,,,
caland,/'ka.lənd/,Kalendae,kalend,/ka.'len.daj/,,,,,,,
Cald,/'kald/,Chaldaeus,chaldae,/kal.'daj.us/,,,,,,,
Caleb,/'ka.lʲəv/,?,,,,,,,,,
Calldea,/'kal.de.a/,Chaldaea,chaldae,/kal.'daj.a/,,,,,,,
camall,/'ka.ɱəL/,camellus,camellus,/ka.mel.lus/,,,,,,,
Cana,/'ka.nə/,Cana,can,/ka.na/,,,,,,,
candadas,/'kan.də.ðəs/,candidus,candid,/'kan.di.dus/,,,,,,,
cann,/'kaN/,panna,panna,/'pan.na/,,,,,,,
Cannán,/'ka.Na:n/,Chanaān,chanaan,/'ka.na.a:n/,,,,,,,
cannan\dae ,/'ka.nan.de/,Chanaān,chanaan,/'ka.na.a:n/,,,,,,,
canóin,/'ka.no:nʲ/,canōn,canon,/'ka.no:n/,,,,,,,
caplait,/'ka.blədʲ/,capillātiō,capillatio,/ka.pil.'la:.ti.o:/,,,,,,,
cárachtar,/'ka:.rəx.tər/,*chāracter,character,/ka:.'rak.ter/,,,,,,,
carbuncail,/'kar.buŋ.kəlʲ/,carbunculus,carbuncul,/kar.'buŋ.ku.lus/,,,,,,,
carcar,/'kar.kər/,carcer,carcer,/'kar.ker/,,,,,,,
carmocol,/'kar.ɱə.gəl/,carbunculus,carbuncul,/kar.'buŋ.ku.lus/,,,,,,,
cartóit,/'kar.to:dʲ/,*cartās,cart,/'kar.ta:s/,,,,,,,
casal\dae,/'ka.səl.de/,casula,casul,/'ka.su.la/,,,,,,,
cásc,/'ka:sk/,Pāscha,pasch,/'pa:s.ka/,,,,,,,
Cath,/'kaθ/,?,,,,,
cathaír,/'ka.θaʲrʲ/,cathedra,cathedr,/'ka.te.dra/,,,,,,,
cathchoimn\id,/'kaθ.xəɱʲ.nʲəð/',catēchūmenus,catechumen,/ka.te:.'ku:.me.nus/,,,,,,,
cathlach,/'ka.θləx/,catholicus,catholic,/ka.'to.li.kus/,,,,,,,
Catulán,/'ka.tu.la:n/,Catulus,catul,/'ka.tu.lus/,,,,,,,
cedair,/'kʲe.dərʲ/,cedrus,cedr,/'ke.drus/,,,,,,,
ceilebr\aid,/'kʲe.lʲə.vrəðʲ/,celebrō,celebr,/'ke.le.bro:/,,,,,,,
céir,/'kʲe:rʲ/,cēra,cer,/'ke:.ra/,,,,,,,
ceist,/'kʲeʃtʲ/,quaestiō,quaestio,/'kwajs.ti.o:/,,,,,,,
cengal,/'kʲeŋ.gəl/,*cingla,cingla,/'kiŋ.gla/,,,,,,,
cepp,/'kʲep/,cippus,cipp,/'kip.pus/,,,,,,,
Cer,/'kʲer/,Cȳrus,cir,/'ki:.rus/,,,,,,,
cerchaill,/'kʲer.xəLʲ/,cervīcal,cervical,/ker.'wi:.kal/,,,,,,,
cert,/'kert/,certus,cert,/'ker.tus/,,,,,,,
ces,/'kes/,cista,cist,/'kis.ta/,,,,,,,
Cham,/'xaɱ/,?,,,,,
Cherupín,/'xʲe.ru.fʲi:n/,cherubīn,cherubin,/'ke.ru.bi:n/,,,,,,,
Chus,/'xus/,?,,,,,
cíchanach,/'kʲi:.xə.nəx/,pīpiō,pipi,/'pi:.pi.o:/,,,,,,,
cicht,/'kʲixt/,pictus,pict,/'pik.tus/,,,,,,,
ciclas\tae,/'kʲi.glə.ste/,Cyclasias,Ciclasias,/ki.kla.si.as/,,,,,,,
cicul,/'kʲi.kul/,cyclus,cicl,/'ki.klus/,,,,,,,
cín,/'kʲi:nʲ/,quīna,quin,/'kwi:.na/ ,,,,,,,
cingciges,/'kʲiŋ.kʲə.ɣʲəs/,*quinquāgēsma,quinquagesma,/kwiŋ.kwa:.'ge:s.ma/,,,,,,,
cinteir,/'kʲinʲ.tʲərʲ/,centrum,centr,/'ken.trum/,,,,,,,
Cír,/'kʲi:r/,Cȳrus,cyr,/'ki:.rus/,,,,,,,
Cir\ine,/'kʲi.rʲə.nʲe/,Hierōnymus,hieronim,/hi.e.'ro:.ni.mus/,,,,,,,
circul,/'kʲir.kul/,circulus,circul,/'kir.ku.lus/,,,,,,,
circunflex,/'kʲir.kunʲ.fʲlʲəxs/,circumflexus,circumflex,/kir.kum.'flek.sus/,,,,,,,
Ciric,/'kʲi.rʲək/,Quiricus,Quiricus,/'kwi.ri.kus/,,,,,,,
cís,/'kʲi:s/,*cēsus,caes,/'ke:.sus/,,,,,,,
cland,/'kland/,planta,plant,/'plan.ta/,,,,,,,
clas 2,/'klas/,classis,classis,/'klas.sis/,,,,,,,
clausul,/'klaw.sul/,clausula,clausul,/'klaw.su.la/,,,,,,,
clecht,/'kʲlʲext/,plecta,plect,/'plek.ta/,,,,,,,
cléirech,/'kʲlʲe:.rʲəx/,clēricus,cleric,/'kle:.ri.kus/,,,,,,,
clér,/'kʲlʲe:r/,clērus,cler,/'kle:.rus/,,,,,,,
clúm,/'klu:ɱ/,plūma,plum,/'plu:.ma/,,,,,,,
cnáib,/'kna:vʲ/,cannabis,cannab,/'kan.na.bis/,,,,,,,
coäis,/'kaus/,causa,caus,/'kaw.sa/,,,,,,,
cobais,/'ko.vəʃ/,cōnfessiō,confessio,/ko:n.'fes.si.o:/,,,,,,,
cochall,/'ko.xəL/,cucullus,cucull,/ku.'kul.lus/,,,,,,,
colcaid,/'kol.kəðʲ/,culcita,culcit,/'kul.ki.ta/,,,,,,,
colche\de,/'kol.xə.ðʲe/,Colchis,Colchis,/'kol.kis/,,,,,,,
colchiae,/'kol.xi.e/,Colchis,Colchis,/'kol.kis/,,,,,,,
collandoracht,/'ko.Lən.də.rəxt/,Kalendae,kalend,/ka.'len.daj/,,,,,,,
