Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology,,,,,,,
felsub,/'fʲel.suv/,philosophus,philosoph,/fi.'lo.so.fus/,,,,,,,
féróil,/'fʲe:.ro:lʲ/,fēriālis,ferial,/fe:.ri.'a:.lis/,,,,,,,
fers,/'fʲers/,uersus,uers,/'wer.sus/,,,,,,,
fescor,/'fʲe.skər/,uesper,uesper,/'wes.per/,,,,,,,
fetarlaic,/'fʲe.dər.ləgʲ/,(in) uetere lege,uet leg,/'we.te.re/+/'le.ge/,,,,,,,
Fetont\ide,/'fʲe.tən.tə.ðʲe/,Phaëthontias,/fa.e.'ton.ti.as/,,,,
fíal 2,/'fʲiəl/,uēlum,uel,/'we:.lum/,,,,,,,
fích,/'fʲi:x/,uīcus,uic,/'wi:.kus/,,,,,,,
fícul\dae,/'fʲi:.gul.de/,fīcula,ficula,/'fi:.ku.la/,,,,,,,
figell,/'fʲi.ɣʲəL/,uigilia,uigil,/wi.'gi.li.a/,,,,,,,
figor,/'fʲi.ɣər/,figūra,figur,/'fi:.gu:.ra/,,,,,,,
Filistín,/'fʲi.lʲə.ʃtʲi:n/,?,,,,,
fín 1,/'fʲi:n/,uīnum,uin,/'wi:.num/,,,,,,,
firmint,/'fʲirʲ.mʲənʲtʲ/,firmāmentum,firmament,/fir.ma:.'men.tum/,,,,,,,
fís,/'fʲi:ʃ/,uīsiō,uisio,/'wi:.si.o:/,,,,,,,
físíu,/'fʲi:.ʃiw/,uīsiō,uisio,/'wi:.si.o:/,,,,,,,
fíthal,/'fʲi:.θəl/,*uītulus,uitul,/'wi:.tu.lus/,,,,,,,
fiurt,/'fʲiwrt/,uirtus,uirtus,/'wir.tus/,,,,,,,
Flistim,/'fʲli.ʃtʲəm/,Philisthim,Philisthim,/fi.'lis.tim/,,,,,,,
foirm,/'forʲmʲ/,fōrma,/'fo:r.ma/,,,,
Gabón,/'ga.vo:n/,?,,,,,
Gabrél,/'ga.vʲrʲe:l/,?,,,,,
Galail,/'ga.ləlʲ/,Galīlaea,galilae,/ga.li:.'laj.a/,,,,,,,
Galat,/'ga.ləd/,Galatae,galilae,/'ga.la.taj/,,,,,,,
Gall 1,/'gaL/,Gallus,Galatae,/'gal.lus/,,,,,,,
Gargán,/'gar.ga:n/,Gargānus,Garganus,/gar.'ga:.nus/,,,,,,,
geint\i,/'gʲenʲ.tʲi/,gentēs,/'gen.te:s/,,,,
genelach,/'gʲe.nʲə.ləx/,geneālogia,genealogi,/ge.ne.a:.'lo.gi.a/,,,,,,,
genitiu,/'gʲe.nʲə.dʲiw/,*genitiō,genitio,/ge.'ni.ti.o:/,,,,,,,
gentl\ide,/'gʲe.nʲ.tʲlʲə.ðʲe/,gentilis,gentil,/'gen.ti.lis/,,,,,,,
gerind,/'gʲe.rəndʲ/,gerundium,gerundi,/ge.'run.di.um/,,,,,,,
Giürge,/'gʲi.ur.ge/,?,,,,,
glaine 3,/'gla.nʲe/,glandium,gland,/'glan.di.um/,,,,,,,
gliger\nat,/'glʲi.ɣʲər.nəd/,Glycerium,Glicerium,/gli.'ke.ri.um/,,,,,,,
glúas,/'gluəs/,glōsa,/'glo:.sa/,,,,
grád 1,/'gra:ð/,*grādus,grad,/gra:.dus/,,,,,,,
graif 3,/'grafʲ/,grauis ,grau,/gra.wis/,,,,,,,
grammataicc,/'gra.mə.dəkʲ/,grammatica,grammatic,/gram.'ma.ti.ka/,,,,,,,
gréc 1,/'gre:g/,*grēcus,grec,/'gre:.kus/,,,,,,,
gríb,/'gʲrʲi:v/,grȳphus,griph,/'gri:.fus/,,,,,,,
Heremias,/'e.rʲə.ɱi.as/,?,,,,,
Heróid,/'e.ro:ðʲ/,Hērōdēs,herodes,/he:.'ro:.de:s/,,,,,,,
Iäcob,/'i.a.kəv/,?,,,,,
íadum\dae,/'iə.ðuɱ.ðe/,Idumaea,Idumaea,/i.du.'maj.a/,,,,,,,
idan,/'i.ðən/,idōneus,idone,/i.'do:.ne.us/,,,,,,,
ídol,/'i:.ðəl/,īdōlum,idol,/i:.'do:.lum/,,,,,,,
Ienar,/'je.nər/,*ienārius,ienarius,/je.'na:.ri.us/,,,,,,,
Iëse 1,/'i.e.ʃe/,?,,,,,
Iessu,/'ʲe.su/,Iesua,Iesua,/'je.su.a/,,,,,,,
ifern,/'i.fʲərn/,*ifernum,/i:.'fer.nus/,,,,
ilec\de,/'i.lʲəx.ðe,īlex,ilex,/'i:.leks/,,,,,,,
ilign\ide,/'i.lʲəɣ.nʲə.ðʲe/,īlignus,ilign,/'i:.liŋ.nus/,,,,,,,
ímáig,/'i:.ɱa:ɣʲ/,*īmāgō,imago,/i:.'ma:.go:/,,,,,,,
inach\dae,/'i.nəx.ðe/,Inachus,Inachus,/'i.na.kus/,,,,,,,
indecht,/'in.dʲəxt/,indictiō,/in.'dik.ti.o:/,,,,
infinit,/'inʲ.fʲə.nʲədʲ/,infīnītum,infinit,/in.fi:.'ni:.tum/,,,,,,,
ingor 1,/'iŋ.gər/,ancora,ancor,/'aŋ.ko.ra/,,,,,,,
inscríbend,/'inʲ.ʃkʲrʲi:.vʲənd/,īnscrībendum,inscrib,/i:n.skri:.'ben.dum/,,,,,,,
interiecht,/'inʲ.tʲə.rʲəxt/,interiectiō,interiectio,/in.ter.'jek.ti.o:,,,,,,,
intinn,/'inʲ.tʲəN/,intentiō,intentio,/in.ten.ti.o:/,,,,,,,
intliucht,/'inʲ.tʲluxt/,intellectus,intellect,/in.tel.'lek.tus/,,,,,,,
Ioäb,/'jo.av/,Ioab,Ioab,/jo.ab/,,,,,,,
Iób,/'jo:v/,Iōb,/jo:b/,,,,
Iohain,/'jo.anʲ/,Iōannēs,ioannes,/jo:.'an.ne:s/,,,,,,,
Ionathan,/'jo.na.θan/,Ionathān,Ionathan,/'jo.na.ta:n/,,,,,,,
Iordanén,/'jor.da.nʲe:n/,Iordanēs,/'jor.da.ne:s/,,,,
Ioseph,/'jo.ʃiəv/,Iōsēphus,Iosephus,/jo:.'se:.fus/,,,,,,,
íróin,/'i:.ro:nʲ/,īrōnīa,/i:.ro:.'ni:.a/,,,,
Iruphín,/i.ru.fʲi:n/,cherubīn,cherubin,/'ke.ru.bi:n/,,,,,,,
Irusalem,/'i.ru.sə.lʲəɱ/,Heryosolyma,Heryosolyma,/he.ri.o.'so.li.ma/,,,,,,,
Isáac,/'i.sa.ak/,Isaāc ,/'i.sa.a:k/,,,,
Ismaíl,/'i.smajl/,Ismael,Ismael,/'is.majl/,,,,,,,
Israël,/'i.sra.el/',Isrāēl,/is.'ra:.e:l/,,,,
Ísu,/'i:.su/,Iēsus,ies,/'je:.sus/,,,,,,,
Iuda,/'ju:.ða/',Iūdās,iud,/ju:da:s/,,,,,,,
Iúdaei,/'ju:.ðe.i/',Iūdaeus,iudae,/ju:.'daj.us/,,,,,,,
Iudas,/'ju:.ðəs/',Iūdās,iud,/ju:da:s/,,,,,,,
Iudé,?,,,,,
iúil,/'ju:lʲ/,Iūlius,iuli,/'ju:.li.us/,,,,,,,
láech,/'lajx/,lāicus,laic,/'la:.i.kus/,,,,,,,
Laiten,/'la.dʲən/,Latīna,latin,/la.'ti:.na/,,,,,,,
lann,/'laN/,lāmina,lamin,/'la:.mi.na/,,,,,,,
lart,/'lart/,Lār,lar,/'la:r/,,,,,,,
later,/'la.tʲər/,later,later,/'la.ter/,,,,,,,
Latin,/'la.dʲən/,Latīnus,latin,/la.'ti:.nus/,,,,,,,
latrann,/'la.drəN/,latrō,latr,/'la.tro:/,,,,,,,
lauren\tide,/'law.rʲən.tə.ðʲe,Laurentium,laurenti,/law.'ren.ti.um/,,,,,,,
lax,/'laxs/,laxus,lax,/'lak.sus/,,,,,,,
Lebedán,/'lʲe.vʲə.ða:n/,Leviāthan,leviathan,/le.wi.'a:.tan/,,,,,,,
lebor,/'lʲe.vər/,liber,lib,/'li.ber/,,,,,,,
lecet,/'lʲe.gʲəd/,licet,lic,/'li.ket/,,,,,,,
lechd\aig\the,/'lʲex.ðəɣʲ.θʲe/,liquidus,liquid,/'li.kwi.dus/,,,,,,,
lég\aid,/'lʲe:.ɣəðʲ/,legō,leg,/'le.go:/,,,,,,,
léigend,/'lʲe:.ɣʲənd/,legendum,legend,/le.'gen.dum/,,,,,,,
leigeón,legiō,legio,/'le.gi.o:/,,,,
léigeón,legiō,legio,/'le.gi.o:/,,,,
leo,/'lʲew/,leō,leo,/'le.o:/,,,,,,,
leuan,/lʲew.an/,Libanus,Libanus,/'li.ba.nus/,,,,,,,
Leui,/lʲew.i/,Lēvi,/le:.wi/,,,,
Leuite,Lēvītēs,Levites,/le:.wi:.te:s/,,,,
ligor\dae,/'lʲi.ɣər.ðe/,Ligurēs,/'li.gu.re:s/,,,,
lín\dae,/'lʲi:n.de/,līnum,lin,/'li:.num/,,,,,,,
lín\ech,/'lʲi:.nʲəx/,līnea,line,/'li:.ne.a/,,,,,,,
litán,/'lʲi.da:n/,litania,litani,/li.'ta.ni.a/,,,,,,,
líth,/'lʲi:θ/,lītus,lit,/'li:.tus/,,,,,,,
litter,/'lʲi.tʲər/,littera,litter,/'lit.te.ra/,,,,,,,
loc,/l'og/,locus,loc,/'lo.kus/,,,,,,,
lócharn,/'lo:.xərn/,*lūcerna,lucern,/lu:.'ker.na/,,,,,,,
long 1,/'loŋ/,(nāvis) longa,long,/'loŋ.ga/,,,,,,,
lubair,/'lu.vərʲ/,labōrem,labor,/la.'bo:.rem/,,,,,,,
Lucas,/lu.kəs/,Lucas,luc,/'lu.kas/,,,,,,,
Lucifer,/lu.kʲə.fʲər/,lūcifer,lucifer,/'lu:.ki.fer/,,,,,,,
lúirech,/'lu:.rəx/,lōrīca,loric,/lo:.'ri:.ka/,,,,,,,
lunáir,/'lu.na:rʲ/,*lunāris,lun,/lu.'na:.ris/,,,,,,,
Maccidón\dae,/'ma.kʲə.ðo:n.de/,Macedonia,macedoni,/ma.ke.'do.ni.a/,,,,,,,
machab\dae,/'ma.xəv.ðe/,Maccabaeus,Maccabaeus,/mak.ka.'baj.us/,,,,,,,
Machabae,/'ma.xə.ve/,Maccabaeus,/mak.ka.'baj.us/,,,,
máchaill,/'ma:.xəLʲ/,macula,macul,/'ma.ku.la/,,,,,,,
macrae,/'ma.gre/,maceria,maceri,/ma.'ke.ri.a/,,,,,,,
Madian,/'ma.ðʲən/,?,,,,,
maigister,/'ma.ɣʲə.ʃtʲər/,magister,magister,/ma.'gis.ter/,,,,,,,
mainche,/'manʲ.xʲe/,*manachīum,manachium,/ma.na.'ki:.um/,,,,,,,
máinia,/'ma:.nʲə/,mania,mani,/'ma.ni.a/,,,,,,,
Maire,/'ma.rʲe/,Marīa,mar,/ma.'ri:.a/,,,,,,,
mairt,/'marʲtʲ/,mārs,mars,/ma:rs/,,,,,,,
maldach\aid,/'mal.də.xəðʲ/,*maldīcō,maldico,/mal.'di:.ko:/,,,,,,,
maldacht,/'mal.dəxt/,*maldictiō,maldictio,/mal.'dik.ti.o:/,,,,,,,
manach,/'ma.nəx/,*manachus,manachus,/'ma.na.kus/,,,,,,,
mann,/'maN/,manna,mann,/'man.na/,,,,,,,
Mannese,/ma.Nʲə.ʃe/,Manassēs,manass,/ma.'nas.se:s/,,,,,,,
Marc,/'mark/,Mārcus,marc,/'ma:r.kus/,,,,,,,
Marcill,/'mar.kəLʲ/,Mārcellus,Marcellus,/ma:r.'kel.lus/,,,,,,,
margan,/'mar.gən/,margō,/'mar.go:/,,,,
margarét,/'mar.gə.rʲe:d/,margarīta,margarit,/mar.ga.'ri:.ta/,,,,,,,
Maria,/ma'rʲi.a/,Marīa,/ma.'ri:.a/,,,,
marmar,/'mar.mər/,marmor,marmor,/'mar.mor/,,,,,,,
Mart,/'mart/,Martis,mart,/'mar.tis/,,,,,,,
martar,/'mar.tər/,martyr,martir,/'mar.tir/,,,,,,,
mascul,/'ma.skul/,masculus,mascul,/'mas.ku.lus/,,,,,,,
masculin\dae,/'ma.sku.lʲən.de/,masculīnus,masculin,/mas.ku.'li:.nus/,,,,,,,
mass,/'mas/,massa,mass,/'mas.sa/,,,,,,,
matan,/'ma.dən/,(hōra) matīna,matina,/ma'ti:.na/,,,,,,,
Mathae,/'ma.θe/,?,,,,,
mebuir,/'mʲe.vurʲ/,memoria,memor,/me.'mo.ri.a/,,,,,,,
Med 2,/'mʲeð/,Mēdus,Medus,/'me:.dus/,,,,,,,
meirdrech,/'mʲerʲ.dʲrʲəx/,meretrix,/'me.re.triks/,,,,
Melchisedech,/'mʲel.kə.ʃə.ðʲəx/,Melchisedech,Melchisedech,/mel.'ki.se.dek/,,,,,,,
membrumm,/'mʲem.brum/,membrum,/'mem.brum/,,,,
memmrae,/'mʲe.mre/,memoria,memor,/me.'mo.ri.a/,,,,,,,
MercUir,/'mʲer.kurʲ/,Mercurius,mercuri,/mer.'ku.ri.us/,,,,,,,
messar,/'mʲe.sər/,*mesūra,mesur,/me.'su:.ra/,,,,,,,
metar 1,/'mʲe.dər/,metrum,metr,/'me.trum/,,,,,,,
metrapoil,/'me.drə.bəlʲ/,mētropolis,metropolis,/me:.'tro.po.lis/,,,,,,,
Míchél,/'mʲi:.xʲe:l/,Michaēl,Michael,/'mi.ka.e:l/,,,,,,,
midach,/'mʲi.ðəx/,medicus,/'me.di.kus/,,,,
míl 2,/'mʲi:l/,mīles,miles,/'mi:.les/,,,,,,,
míle,/'mʲi:.lʲe/,mīlia,mili,/'mi:.li.a/,,,,,,,
min 1,/'mʲin/,mīnus,minus,/'mi:.nus/,,,,,,,
mindech,/'mʲinʲ.dʲəx/,mendīcus,mendic,/men.'di:.kus/,,,,,,,
mírbail,/'mʲi:r.vəlʲ/,mīrābilis,mirabil,/mi:.'ra:.bi.lis/,,,,,,,
mirt–chaill,/'mʲirt/,myrtus,mirt,/'mir.tus/,,,,,,,
Moab,/'mo.av/',Mōab,Moab,/'mo:.ab/,,,,,,,
mocol,/'mo.gəl/,macula,/'ma.ku.la/,,,,
mod,/'moð/,modus,mod,/'mo.dus/,,,,,,,
moinistir,/'mo.nʲə.ʃtʲərʲ/,monasterium,monasteri,/mo.nas.'te.ri.um/,,,,,,,
moirtchenn,/'morʲtʲ.xʲəN/,morticinium,morticinium,/mor.ti.'ki.ni.um/,,,,,,,
monad,/'mo.nəð/,monēta,monet,/mo.'ne:.ta/,,,,,,,
morálus,/'mo.ra:.lus/,*morālis,moral,/mo:.'ra:.lis/,,,,,,,
Mordochei,/'mor.də.xʲe.i/,Mardocheus,Mardocheus,/mar.'do.ke.us/,,,,,,,
mortlaith,/'mor.tləθʲ/,mortālitās,/mor'ta:.li.ta:s,,,,
Moisi,/'mo.i.ʃi/,Mō̆ȳsēs,/mo.'i:.se:s/,,,,
muide,/'mu.ðʲe/,modius,modi,/'mo.di.us/,,,,,,,
muilenn,/'mu.lʲəN/,molīna,molin,/mo.'li:.na/,,,,,,,
muinter,/'munʲ.tʲər/,monasterium,monasteri,/mo.nas.'te.ri.um/,,,,,,,
múl,/'mu:l/,mūlus,mul,/'mu:.lus/,,,,,,,
múr,/'mu:r/,mūrus,mur,/'mu:.rus/,,,,,,,
mút,/'mu:t/,mūtus,mut,/'mu:.tus/,,,,,,,
Nabcodon,/'nav.kə.ðən/,Nabuchodonosor,Nabuchodonosor,/na.bu.ko.'do.no.sor/,,,,,,,
Nabcodonozor,/'nav.kə.ðə.nə.sər/,Nabuchodonosor,/na.bu.ko.'do.no.sor/,,,,
Nathan,/'na.θən/,Nathan,Nathan,/'na.tan/,,,,,,,
neutur,/'nʲew.dur/,neutrum,/'new.trum/,,,,
neuturál\dae ,/'nʲew.du.ra:l.de/,neutrālis,neutralis,/new.'tra:.lis/,,,,,,,
nihelas,/'nʲi.e.ləs/',nihil,/'ni.hil/,,,,
Nóë,/'no.e/,Nōē,Noe,/'no:.e:/,,,,,,,
nón,/'no:n/,nōna,/'no:.na/,,,,
not,/'nod/,nota,not,/'no.ta/,,,,,,,
nothath,/'no.θəθ/,nothus,noth,/'no.tus/,,,,,,,
notlaic,/'no.dləgʲ/,*natālicius,natalici,/na.ta:.'li.ki.us/,,,,,,,
nuimir ,/'nu.ɱʲərʲ/,numerus,numer,/'nu.me.rus/,,,,,,,
Nun,/'nun/,Nun,nun,/'nun/,,,,,,,
obel,/'o.vʲəl/,obelus,obel,/'o.be.lus/,,,,,,,
oblae,/'ov.le/,oblāta,oblat,/ob.'la:.ta/,,,,,,,
ochra,/'o.xrə/,ocreae,ocre,/'o.kre.aj/,,,,,,,
ochsal,/'ox.səl/,axilla,axill,/ak.'sil.la/,,,,,,,
Ochtimbir,/'ox.təmʲ.bʲərʲ/,*octember ,octember,/ok.'tem.ber/,,,,,,,
oifrend,/'o.fʲrʲənd/,offerendum,offer,/of.fe.'ren.dum/,,,,,,,
oirdn\id,/'orʲdʲ.nʲəðʲ/,ordinō,ordin,/'or.di.no:/,,,,,,,
oirgl\ech,/'orʲ.gʲlʲəx/',*orāclum,oracl,/o.'ra:.klum/,,,,,,,
olae,/'o.le/,oleum,ole,/o.'le.um/,,,,,,,
ong\aid,/'oŋ.gəðʲ/,ungō,ung,/'uŋ.go:/,,,,,,,
onóir,/'o.no:rʲ/,honor,honor,/'ho.nor/,,,,,,,
opar,/'o.bər/,opera,oper,/'o.pe.ra/,,,,,,,
optait,/'ob.tədʲ/,optātīuus,optatiuus,/op.ta:.'ti:.wus/,,,,,,,
ór,/'o:r/,hōra,hor,/'ho:.ra/,,,,,,,
ór 1,/'o:r/,aurum,aur,/'aw.rum/,,,,,,,
oratian\dae,/'o.rə.tʲən.de/,horatiānus,horatianus,/ho.ra.ti.'a:.nus/,,,,,,,
ord 1,/'ord/,ōrdō,ordo,/'o:r.do:/,,,,,,,
ordan,/'or.dən/,ōrdō,ordo,/'o:r.do:/,,,,,,,
orgán,/'or.ga:n/,organum,organ,/'or.ga.num/,,,,,,,
Orient,/'o.rʲi.ent,oriēns,ori,/'o.ri.e:ns/,,,,,,,
oróit,/'o.ro:dʲ/,*orātiō,oratio,/o.'ra:.ti.o:/,,,,,,,
ortha,/'or.θə/,*orātiō,oratio,/o.'ra:.ti.o:/,,,,,,,
Ossæ,/'o.se/,Hosea,Hosea,/'ho.se.a/,,,,,,,
pács,/'pa:ks/,pāx,/pa:ks/,,,,
pairche,/'parʲ.xʲe/,paruchia,paruchia,/pa.'ru.ki.a/,,,,,,,
pairt,/'parʲtʲ/,pars,/'pars/,,,,
paiter,/'pa.dʲər/,pater,pater,/'pa.ter/,,,,,,,
Palastina,/'pa.lə.ʃtʲə.na/,Palaestīna,Palaestina,/pa.lajs.'ti:.na/,,,,,,,
palnac\de,/'pal.nəx.ðe/,pallacīnus,/pal.la.'ki:.nus/,,,,
Pan,/'pan/,?,,,,,
parabail,/'pa.rə.vəlʲ/,parabola,parabol,/pa.'ra.bo.la/,,,,,,,
parbail,/'par.vəlʲ/,parabola,parabol,/pa.'ra.bo.la/,,,,,,,
Pardas,/'par.dəs/,paradīsus,paradis,/pa.ra.'di:.sus/,,,,,,,
passer,/'pa.ʃər/,passer,passer,/'pas.ser/,,,,,,,
Pátric,/'pa.drəgʲ/,*Pātricius,patrici,/pa.'tri.ki.us/,,,,,,,
peccath,/'pʲ.ekəθ/,peccātum,peccat,/pek.'ka:.tum/,,,,,,,
pél\ech\dae,/'pʲe:.lʲəx.ðe/,Peleus,Peleus,/pe.'le.us/,,,,,,,
pén,/'pʲen/,pena,/'pe:.na/,,,,
peneuilt,/'pʲe.nʲulʲtʲ/,pēnultima,penultima,/pe:.'nul.ti.ma/,,,,,,,
penn,/'pʲeN/,penna,/'pen.na/,,,,
pennaind,/'pʲe.Nənʲdʲ/,*pententia,pententia,/pen.'ten.ti.a/,,,,,,,
pennit,/'pʲe.Nʲədʲ/,*penitēre,/pe.ni.'te:.re/,,,,
Pers,/'pʲers/,Persa,pers,/'per.sa/,,,,,,,
persan,/'pʲer.sən/,persōna,person,/per.'so:.na/,,,,,,,
Petar,/'pʲe.dər/,Petrus,petr,/'pe.trus/,,,,,,,
Philipians\tae,/'fʲi.lʲə.pʲən.ste/,philipianēnsis,philipianensis,/fi.li.pi.a.'ne:n.sis/,,,,,,,
Philomóin,/fʲi.lə.ɱo:nʲ/,Philēmōn,Philemon,/fi.'le:.mo:n/,,,,,,,
phir\de,/'fʲir.ðe/,Phirradios,/fir.'ra.di.os/,,,,
Pilip,/'pʲi.lʲəb/,Phillipus,Phillipus,/'fil.li.pus/,,,,,,,
pín,/'pʲi:n/,pīnus,/'pi:.nus/,,,,
pis,/'pʲiʃ/,pisum,pis,/'pi.sum/,,,,,,,
pís,/'pʲi:s/,*pēsum,pes,/'pe:.sum/,,,,,,,
plág,/'pla:ɣ/,plāga,plag,/'pla:.ga/,,,,,,,
plait,/'pladʲ/,platēa,plate,/pla.'te:.a/,,,,,,,
póc,/'po:g/,pāx,pax,/pa:ks/,,,,,,,
Poimp,/'pomʲpʲ/,Pompeius,pompei,/pom.'pej.jus/,,,,,,,
Pól,/'po:l/,Paulus,paul,/'paw.lus/,,,,,,,
pól\ire,/'po:.lə.rʲe/,*puglāria,puglaria,/pu.'gla:.ri.a/,,,,,,,
ponc,/'poŋk/,pūnctum,punct,/'pu:ŋk.tum/,,,,,,,
pond,/'pond/,pondus,pondus,/'pon.dus/,,,,,,,
Pontfelat,/'ponʲtʲ.fʲə.lət/,Pontius Pilātius,ponti pilatius,/'pon.ti.us/+/pi.'la:.tius/,,,,,,,
pópol,/'po:.bəl/,pōpulus ,popul,/'po:.pu.lus/,,,,,,,
popul,/'po.bul/,populus,popul,/'po.pu.lus/,,,,,,,
port,/'port/,portus,port,/'por.tus/,,,,,,,
posit,/'po.ʃədʲ/,positīuus,positiu,/po.si.'ti:.wus/,,,,,,,
preicept,/'pʲrʲe.gʲəpt/,praeceptum,praecept,/praj.'kep.tum/,,,,,,,
Prescien,/'pʲrʲes.kʲi.e:n/,Prisciānus,Priscianus,/pris.ki.'a:.nus/,,,,,,,
pret\aid,/'pʲrʲe.dəðʲ/,*predō,'/pre.do:/,,,,
pridch\aid,/'pʲrʲið.xəðʲ/,*predīcō,predico,/pre.'di:.ko:/,,,,,,,
prím,/'pʲrʲi:ɱ/,prīmus,prim,/'pri:.mus/,,,,,,,
prímit,/'pʲri:.ɱədʲ/,primitiae,primiti,/pri.'mi.ti.aj/,,,,,,,
Priscill,/'pʲrʲis.kəLʲ/,Priscilla,Priscilla,/pris.'kil.la/,,,,,,,
proind,/'prondʲ/,prandium,/'pran.di.um/,,,,
prom\aid,/'pro.ɱəðʲ/,probō,prob,/'pro.bo:/,,,,,,,
promith\ide,/'pro.ɱə.ðʲe/,Promētheus,Prometheus,/pro.'me:.te.us/,,,,,,,
propir,/'pro.bʲərʲ/,proprium,/'pro.pri.um/,,,,
Prospir,/'pro.spərʲ/,Prosperus,prosper,/'pros.pe.rus/,,,,,,,
psilen,/'ʃi.lʲən/,?,,,,,
punct,/'puŋkt/,pūnctum,punct,/'pu:ŋk.tum/,,,,,,,
pupall,/'pu.bəL/,pāpiliō ,papilio,/pa:.'pi.li.o:/,,,,,,,
purgatóir,/'pur.gə.do:r/,purgatōrium,purgatori,/pur.ga.'to:.ri.um/,,,,,,,
Rabsacen,/'rav.sə.kʲe:n/,Rabsacēs,Rabsaces,/'rab.sa.ke:s/,,,,,,,
ráim,/'ra:ɱʲ/,rāmus,/'ra:.mus/,,,,
reiclés,/'rʲe.gʲlʲe:s/,?,,,,,
reilic,/'re.lʲəgʲ/,reliquiae,reliqui,/re.'li.kwi.aj/,,,,,,,
retoiric,/'rʲe.do.rʲəgʲ/,*rhetoricē,rhetoric,/re.'to.ri.ke:/,,,,,,,
rétu,/'rʲe:.du/,*rēatus,reat,/'re:.a.tus/,,,,,,,
riagul,/'rʲiə.ɣul/,rēgula,regul,/'re:.gu.la/,,,,,,,
robur,/'ro.vur/,rubrum,rubr,/'rub.rum/,,,,,,,
Róm,/'ro:ɱ/,Rōma,rom,/'ro:.ma/,,,,,,,
Rómán,/'ro:.ɱa:n/,rōmānus,roman,/ro:.'ma:.nus/,,,,,,,
romuil,/'ro.ɱulʲ/,Rōmulus,romul,/'ro:.mu.lus/,,,,,,,
rós,/'ro:s/,*rōsa,ros,/'ro:.sa/,,,,,,,
rúsc,/'ru:sk/,ruscum,rusc,/'rus.kum/,,,,,,,
sabbait,/'sa.bədʲ/,sabbatum,sabbat,/'sab.ba.tum/,,,,,,,
sabin\dae,/'sa.vʲən.de/,Sabīnī,sabin,/sa.'bi:.ni:/,,,,,,,
sacarbaicc,/'sa.kər.vəkʲ/,*sacrficium,sacrficium,/sa.kər.'fi.ki.um/,,,,,,,
sacart,/'sa.gərt/,sacerdōs,sacerdos,/sa.'ker.do:s/,,,,,,,
sacerdotal\acht,/'sa.gər.də.tə.ləxt/,sacerdotal,sacerdotal,/sa.'ker.do.tal/,,,,,,,
sachaill [?],/'sa.xəLʲ/,sagellum,sagellum,/sa.'gel.lum/,,,,,,,
Sachall,/'sa.xəL/,Sacellus,Sacellus,/sa.'kel.lus/,,,,,,,
sáegul,/'saj.ɣul/,saeculum,/'saj.ku.lum/,,,,
saiget,/'sa.ɣʲəd/,sagitta,sagitt,/sa.'git.ta/,,,,,,,
saile,/'sa.lʲe/,salīua,saliu,/sa.'li:.wa/,,,,,,,
salland,/'sa.Lənd/,psallendum,psall,/psal.'len.dum/,,,,,,,
salm,/'salm/,psalmus,psalm,/'psal.mus/,,,,,,,
salt,/'salt/,saltus,salt,/'sal.tus/,,,,,,,
saltair,/'sal.tərʲ/,psaltērium,psalteri,/psal.'te:.ri.um/,,,,,,,
Samsón,/'saɱ.so:n/,Samsōn,Samson,/'sam.so:n/,,,,,,,
sanctáir,/'saŋk.ta:rʲ/,*sanctārium,/saŋk.'ta:.ri.um/,,,,
saphir,/'sa.fʲər/,sapphir,sapphir,/'sap.fir/,,,,,,,
Sara,/'sa.rə/,Sara,Sara,/'sa.ra/,,,,,,,
satan,/sa.tən/,satan,/'sa.tan/,,,,
satharn,/'sa.θərn/,*Saturnus,Saturn,/sa.'tur.nus/,,,,,,,
Sathel,/'sa.θʲəl/,Satahēl,/'sa.ta.e:l/,,,,
Saturn,/'sa.durn/,Saturnus,/sa.'tur.nus/,,,,
Saul,/sawl/,Saūl,/'sa.u:l/,,,,
scibar,/'ʃkʲi.vər/,*piber,piber,/'pi.ber/,,,,,,,
sciobaidh,/'ʃkʲi.bəðʲ/,?,,,,,
scioból,/'ʃkʲi.bəl/,scōpārium,scoparium,/sko:.'pa:.ri.um/,,,,,,,
Scip,/'ʃkʲip/,Scīpiō,scipio,/'ski:.pi.o:/,,,,,,,
screptar,/'ʃkʲrʲeb.tər/,scriptūra,script,/skrip.'tu:.ra/,,,,,,,
screpul,/'ʃkʲrʲe.bul/,*scriplus,scriplus,/'skri.plus/,,,,,,,
scríb\aid,/'ʃkʲrʲi:.vəðʲ/,scrībō,scrib,/'skri:.bo:/,,,,,,,
scríbend,/'ʃkʲrʲi:.vʲənd/,scrībendum,scribend,/skri:.'ben.dum/,,,,,,,
scriptuir,/'ʃkʲrʲib.turʲ/,scrīptūra,script,/skri:p.'tu:.ra/,,,,,,,
scrubl,/'skru.vəl/,scrūpulus,scrupul,/'skru:.pu.lus/,,,,,,,
scrút\aid,/'skru:.dəðʲ/,scrūtor,scrut,/'skru:.tor/,,,,,,,
scrútan,/'skru:.dən/,scrūtinium,scrutini,/skru:.'ti.nium/,,,,,,,
scúap,/'skuəb/,scōpa,scop,/'sko:.pa/,,,,,,,
secal,/'ʃe.gəl/,secāle,secale,/se.'ka:.le/,,,,,,,
Sechnall,/'ʃex.nəL/,Secundīnus,Secundinus,/se.kun.'di:.nus/,,,,,,,
